Date,index,Cbd_Regional,total,left,left_avg,year,day,hour
2019-05-29,148,cbd,6.0,3.0,1.0,2019.0,29.0,12.0
2019-05-30,149,cbd,7.0,4.0,1.0,2019.0,30.0,13.0
2019-05-31,150,cbd,8.0,4.0,1.0,2019.0,31.0,11.0
2019-06-01,151,cbd,9.0,5.0,1.0,2019.0,1.0,9.0
2019-06-02,152,cbd,3.0,2.0,1.0,2019.0,2.0,12.0
2019-06-03,153,cbd,5.0,3.0,1.0,2019.0,3.0,12.0
2019-06-04,154,cbd,5.0,3.0,1.0,2019.0,4.0,12.0
2019-06-05,155,cbd,8.0,3.0,1.0,2019.0,5.0,11.0
2019-06-06,156,cbd,7.0,4.0,1.0,2019.0,6.0,11.0
2019-06-07,157,cbd,7.0,4.0,1.0,2019.0,7.0,11.0
2019-06-08,158,cbd,6.0,4.0,1.0,2019.0,8.0,12.0
2019-06-09,159,cbd,5.0,3.0,1.0,2019.0,9.0,11.0
2019-06-10,160,cbd,4.0,2.0,1.0,2019.0,10.0,11.0
2019-06-11,161,cbd,5.0,3.0,1.0,2019.0,11.0,11.0
2019-06-12,162,cbd,6.0,3.0,1.0,2019.0,12.0,12.0
2019-06-13,163,cbd,28.0,14.0,1.0,2019.0,13.0,2.0
2019-06-14,164,cbd,,,,,,
2019-06-15,165,cbd,,,,,,
2019-06-16,166,cbd,,,,,,
2019-06-17,167,cbd,,,,,,
2019-06-18,168,cbd,,,,,,
2019-06-19,169,cbd,,,,,,
2019-06-20,170,cbd,,,,,,
2019-06-21,171,cbd,,,,,,
2019-06-22,172,cbd,,,,,,
2019-06-23,173,cbd,,,,,,
2019-06-24,174,cbd,,,,,,
2019-06-25,175,cbd,,,,,,
2019-06-26,176,cbd,,,,,,
2019-06-27,177,cbd,,,,,,
2019-06-28,178,cbd,,,,,,
2019-06-29,179,cbd,,,,,,
2019-06-30,180,cbd,,,,,,
2019-07-01,181,cbd,,,,,,
2019-07-02,182,cbd,,,,,,
2019-07-03,183,cbd,,,,,,
2019-07-04,184,cbd,,,,,,
2019-07-05,185,cbd,,,,,,
2019-07-06,186,cbd,,,,,,
2019-07-07,187,cbd,,,,,,
2019-07-08,188,cbd,,,,,,
2019-07-09,189,cbd,,,,,,
2019-07-10,190,cbd,,,,,,
2019-07-11,191,cbd,,,,,,
2019-07-12,192,cbd,,,,,,
2019-07-13,193,cbd,,,,,,
2019-07-14,194,cbd,,,,,,
2019-07-15,195,cbd,,,,,,
2019-07-16,196,cbd,,,,,,
2019-07-17,197,cbd,,,,,,
2019-07-18,198,cbd,,,,,,
2019-07-19,199,cbd,,,,,,
2019-07-20,200,cbd,,,,,,
2019-07-21,201,cbd,,,,,,
2019-07-22,202,cbd,,,,,,
2019-07-23,203,cbd,,,,,,
2019-07-24,204,cbd,,,,,,
2019-07-25,205,cbd,,,,,,
2019-07-26,206,cbd,,,,,,
2019-07-27,207,cbd,,,,,,
2019-07-28,208,cbd,,,,,,
2019-07-29,209,cbd,,,,,,
2019-07-30,210,cbd,,,,,,
2019-07-31,211,cbd,,,,,,
2019-08-01,212,cbd,,,,,,
2019-08-02,213,cbd,,,,,,
2019-08-03,214,cbd,,,,,,
2019-08-04,215,cbd,,,,,,
2019-08-05,216,cbd,,,,,,
2019-08-06,217,cbd,,,,,,
2019-08-07,218,cbd,,,,,,
2019-08-08,219,cbd,,,,,,
2019-08-09,220,cbd,,,,,,
2019-08-10,221,cbd,,,,,,
2019-08-11,222,cbd,,,,,,
2019-08-12,223,cbd,,,,,,
2019-08-13,224,cbd,,,,,,
2019-08-14,225,cbd,,,,,,
2019-08-15,226,cbd,,,,,,
2019-08-16,227,cbd,,,,,,
2019-08-17,228,cbd,,,,,,
2019-08-18,229,cbd,,,,,,
2019-08-19,230,cbd,,,,,,
2019-08-20,231,cbd,,,,,,
2019-08-21,232,cbd,,,,,,
2019-08-22,233,cbd,,,,,,
2019-08-23,234,cbd,,,,,,
2019-08-24,235,cbd,,,,,,
2019-08-25,236,cbd,,,,,,
2019-08-26,237,cbd,,,,,,
2019-08-27,238,cbd,,,,,,
2019-08-28,239,cbd,,,,,,
2019-08-29,240,cbd,,,,,,
2019-08-30,241,cbd,,,,,,
2019-08-31,242,cbd,,,,,,
2019-09-01,243,cbd,,,,,,
2019-09-02,244,cbd,,,,,,
2019-09-03,245,cbd,,,,,,
2019-09-04,246,cbd,,,,,,
2019-09-05,247,cbd,,,,,,
2019-09-06,248,cbd,,,,,,
2019-09-07,249,cbd,,,,,,
2019-09-08,250,cbd,,,,,,
2019-09-09,251,cbd,,,,,,
2019-09-10,252,cbd,,,,,,
2019-09-11,253,cbd,,,,,,
2019-09-12,254,cbd,,,,,,
2019-09-13,255,cbd,,,,,,
2019-09-14,256,cbd,,,,,,
2019-09-15,257,cbd,,,,,,
2019-09-16,258,cbd,,,,,,
2019-09-17,259,cbd,,,,,,
2019-09-18,260,cbd,5.5,3.5,1.5,2019.0,18.0,23.0
2019-09-19,261,cbd,6.0,4.0,1.0,2019.0,19.0,9.0
2019-09-20,262,cbd,16.0,13.0,1.0,2019.0,20.0,7.0
2019-09-21,263,cbd,5.0,4.0,1.0,2019.0,21.0,11.5
2019-09-22,264,cbd,53.0,22.0,1.0,2019.0,22.0,23.0
2019-09-23,265,cbd,9.5,4.0,1.0,2019.0,23.0,14.0
