Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
30 Park Crescent,"520,000",14 Feb 2015,,,1.0,,,337,,3,1,,South Geelong,26
45 Lonsdale Street,"400,000",Dec 2014,,,,380,Mar 2015,,,3,1,1,South Geelong,26
1/7 Strong Street,"845,000",Dec 2014,,,,,,540,,,,,South Geelong,26
13 Balliang Street,"840,000",18 Nov 2014,"360,000",Feb 2009,1.0,,,460,190,3,1,2,South Geelong,26
35 Gravel Pits Road,"717,000",Nov 2014,"200,000",Jul 2003,,,,"20,345",,2,1,2,South Geelong,26
2/110 Balliang Street,"485,000",Nov 2014,,,,,,282,,,,,South Geelong,26
3/2 Foster Street,"245,000",18 Oct 2014,,,1.0,300,Jan 2018,114,69,,,,South Geelong,26
36 Foster Street,"512,500",Oct 2014,"79,500",Jan 1999,,430,Aug 2015,262,,3,1,2,South Geelong,26
224 Yarra Street,"253,000",Oct 2014,,,,,,474,,3,1,,South Geelong,26
119 Balliang Street,"1,210,000",Sep 2014,,,,,,"1,736",,,,,South Geelong,26
20 Verner Street,"721,000",30 Aug 2014,"572,746",Mar 2010,1.0,450,Jul 2008,486,99,3,2,3,South Geelong,26
260b Yarra Street,"275,000",Aug 2014,,,,,,270,,3,,,South Geelong,26
45 Balliang Street,"463,000",02 Aug 2014,,,1.0,390,Feb 2018,283,97,2,1,2,South Geelong,26
351 Moorabool Street,"1,400,000",Aug 2014,"238,000",Jan 1996,,,,890,501,,,,South Geelong,26
22 Lonsdale Street,"533,300",Jul 2014,"157,000",Nov 1994,,540,Apr 2016,85,,4,3,2,South Geelong,26
20 Dowsett Street,"460,000",Jul 2014,"87,500",Jun 1984,,,,"1,198",,,,,South Geelong,26
1/49 Balliang Street,"300,000",Jun 2014,"255,000",Jun 2008,,360,Jan 2018,157,85,,,,South Geelong,26
248 Bellerine Street,"481,350",Jun 2014,"455,000",Jun 2010,,450,Feb 2013,473,184,3,1,3,South Geelong,26
17 Verner Street,"475,000",Jun 2014,"380,000",May 2007,,,,486,86,2,1,1,South Geelong,26
121 Fyans Street,"507,000",May 2014,,,,,,"1,019",,2,1,1,South Geelong,26
254 Yarra Street,"465,000",May 2014,,,,,,480,,4,1,1,South Geelong,26
3/16 Balliang Street,"295,000",May 2014,"112,000",Jun 1998,,,,175,,,,,South Geelong,26
1/106 Balliang Street,"511,500",May 2014,,,,,,372,,,,,South Geelong,26
69 Fyans Street,"373,000",Apr 2014,,,,,,337,87,3,1,2,South Geelong,26
44 Little Fyans Street,"355,000",05 Apr 2014,,,1.0,,,"1,011",,,,,South Geelong,26
5 Birkett Place,"275,000",Apr 2014,"170,000",Mar 2008,,,,875,,,,,South Geelong,26
277 Bellerine Street,"395,000",Mar 2014,,,,380,Feb 2019,193,,3,1,,South Geelong,26
53 Balliang Street,"372,500",Mar 2014,,,,350,Jun 2017,,,3,1,2,South Geelong,26
51 Balliang Street,"372,500",Mar 2014,"235,000",Feb 2002,,,,309,,3,1,2,South Geelong,26
164 Fyans Street,"1,000,000",Feb 2014,,,,,,"2,000",910,,,,South Geelong,26
221a Yarra Street,"552,000",Feb 2014,"450,000",Jul 2010,,,,780,214,,,,South Geelong,26
1/110 Balliang Street,"533,500",Jan 2014,,,,,,372,,,,,South Geelong,26
47 Lonsdale Street,"370,000",01 Jan 2014,"221,500",Feb 2000,1.0,,,561,,3,1,1,South Geelong,26
20-22 Birkett Place,"255,000",Dec 2013,"190,000",Sep 2010,,,,863,,,,,South Geelong,26
20 Birkett Place,"255,000",Dec 2013,,,,,,863,,,,,South Geelong,26
395-399 Moorabool Street,"1,980,000",Nov 2013,"730,000",Jan 1999,,,,"1,416",,,,,South Geelong,26
10 Park Crescent,"467,000",Nov 2013,,,,,,283,,3,2,1,South Geelong,26
179 Swanston Street,"531,000",17 Nov 2013,"83,000",Jan 1991,1.0,335,Mar 2008,505,116,3,1,2,South Geelong,26
27 Foster Street,"76,000",Nov 2013,,,,,,485,,,,,South Geelong,26
395 Moorabool Street,"1,980,000",Nov 2013,,,,,,359,,,,,South Geelong,26
449 Moorabool Street,"4,500,000",Nov 2013,,,,,,"7,240",,,,,South Geelong,26
80 Balliang Street,"320,000",26 Oct 2013,,,1.0,450,Aug 2020,"1,025",,9,4,4,South Geelong,26
