Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
19 The Esplanade,"1,300,000",Dec 1999,,,,,,,,,,,Drumcondra,7
63 The Esplanade,"650,000",Nov 1999,,,,,,"1,387",,,,,Drumcondra,7
25 Lunan Avenue,"300,000",Nov 1999,,,,,,509,,3,3,3,Drumcondra,7
39 Melbourne Road,"120,000",Jul 1999,,,,390,Nov 2013,109,,3,1,1,Drumcondra,7
3 Drumcondra Avenue,"285,000",Apr 1999,"152,000",Mar 1994,,,,625,216,4,2,2,Drumcondra,7
2/13 Grandview Grove,"235,000",Dec 1998,,,,,,625,,,,,Drumcondra,7
13 Grandview Grove,"235,000",Dec 1998,,,,,,625,,,,,Drumcondra,7
7 The Esplanade,"651,250",Nov 1998,,,,,,891,,5,3,,Drumcondra,7
9 York Street,"65,000",Nov 1998,,,,,,,,,,,Drumcondra,7
25 Melbourne Road,"210,000",Oct 1998,,,,,,915,,,,,Drumcondra,7
19 Melbourne Road,"210,000",Oct 1998,,,,,,915,,,,,Drumcondra,7
41 The Esplanade,"260,000",Sep 1998,,,,560,Jul 2019,863,,4,2,4,Drumcondra,7
37 Melbourne Road,"151,000",Sep 1998,,,,445,Mar 2020,693,,4,2,4,Drumcondra,7
7/5 Glenleith Avenue,"83,000",Aug 1998,,,,,,,,,,,Drumcondra,7
28 Beach Parade,"330,000",Dec 1997,,,,,,675,208,3,2,2,Drumcondra,7
24 Wattletree Road,"200,000",Dec 1997,"127,000",Mar 1988,,,,612,,,,,Drumcondra,7
31a Bell Parade,"72,500",Aug 1997,,,,270,Nov 2014,195,,2,1,1,Drumcondra,7
15 Beach Parade,"204,000",Jun 1997,,,,,,613,,2,,,Drumcondra,7
4R Glenleith Avenue,"64,000",Oct 1996,,,,,,608,,,,,Drumcondra,7
3/27 Lunan Avenue,"165,000",Jan 1996,,,,,,578,,,,,Drumcondra,7
27 Lunan Avenue,"165,000",Jan 1996,,,,,,578,,3,,,Drumcondra,7
57 The Esplanade,"560,000",Nov 1995,,,,750,Apr 2015,"1,042",,3,2,2,Drumcondra,7
69 The Esplanade,"475,000",Nov 1995,,,,,,"1,649",,,,,Drumcondra,7
19 Glenleith Avenue,"210,000",Oct 1995,"102,000",Nov 1987,,375,Jul 2016,970,,4,1,1,Drumcondra,7
30 Beach Parade,"230,000",Sep 1995,"215,000",Dec 1992,,,,674,,1,3,3,Drumcondra,7
27 Beach Parade,"271,000",Aug 1995,"98,000",May 1988,,,,613,,3,3,3,Drumcondra,7
10 Grandview Grove,"120,000",Jun 1995,,,,,,636,,3,,,Drumcondra,7
1 Mcmillan Avenue,"110,000",Jun 1995,,,,,,,,,,,Drumcondra,7
32 Beach Parade,"112,000",May 1995,,,,,,272,,3,3,3,Drumcondra,7
3/17 The Esplanade,"99,000",Mar 1995,,,,,,,,,,,Drumcondra,7
26 Drumcondra Avenue,"173,000",Jan 1995,,,,,,613,,1,3,3,Drumcondra,7
35 Bell Parade,"82,500",Dec 1994,,,,,,518,,2,,,Drumcondra,7
1/51 Princes Highway,"140,000",Sep 1994,,,,,,681,,,,,Drumcondra,7
1/51 Melbourne Road,"140,000",Sep 1994,,,,,,680,,,,,Drumcondra,7
28 Drumcondra Avenue,"142,250",Apr 1994,,,,750,Dec 2020,613,,4,3,2,Drumcondra,7
11 Glenleith Avenue,"182,500",Apr 1994,,,,,,970,,1,1,3,Drumcondra,7
33 Margaret Street,"74,700",Jan 1994,,,,,,,,,,,Drumcondra,7
5 Wattletree Road,"136,000",Sep 1993,,,,,,625,,3,,,Drumcondra,7
1/25 The Esplanade,"435,000",Aug 1993,,,,,,,,,,,Drumcondra,7
12 Lunan Avenue,"123,000",Jul 1993,,,,,,653,,,,,Drumcondra,7
9/1 Glenleith Avenue,"74,000",Apr 1993,,,,,,,,,,,Drumcondra,7
8 The Esplanade,"300,000",Apr 1993,,,,,,371,,,,,Drumcondra,7
33 Bell Parade,"150,000",Jan 1992,,,,,,648,,3,3,3,Drumcondra,7
63 Melbourne Road,"115,000",Jan 1992,,,,,,731,,,,,Drumcondra,7
23 Glenleith Avenue,"135,000",Sep 1991,,,,490,Apr 2007,970,,6,2,3,Drumcondra,7
49 The Esplanade,"432,000",Dec 1990,,,,510,Nov 2019,"1,028",,3,1,4,Drumcondra,7
67 The Esplanade,"350,000",Nov 1990,,,,,,"1,649",,,,,Drumcondra,7
19 Wattletree Road,"143,000",Oct 1990,"65,000",Sep 1985,,,,613,,1,3,3,Drumcondra,7
34 Beach Parade,"186,500",Sep 1990,,,,,,540,,3,,,Drumcondra,7
43 Melbourne Road,"159,000",Aug 1990,,,,,,700,,,,,Drumcondra,7
23 Wattletree Road,"166,500",May 1990,,,,,,612,,4,,,Drumcondra,7
45 The Esplanade,"950,000",Apr 1990,,,,,,"1,201",,2,1,1,Drumcondra,7
51 The Esplanade,"56,500",Jan 1990,,,,,,"1,228",365,4,2,,Drumcondra,7
13 Mcmillan Avenue,"108,000",Dec 1989,,,,520,Jun 2012,,,3,2,2,Drumcondra,7
19 Bell Parade,"115,000",Nov 1989,,,,,,652,,3,3,3,Drumcondra,7
2/10 Glenleith Avenue,"112,500",Oct 1989,,,,310,Jul 2015,,,,,,Drumcondra,7
15 The Esplanade,"800,000",Jul 1989,,,,,,,,,,,Drumcondra,7
10/17 The Esplanade,"114,000",Jul 1989,,,,,,,,,,,Drumcondra,7
26 Lunan Avenue,"142,000",May 1989,,,,,,214,,,,,Drumcondra,7
2/2A WATTLETREE Road,"91,500",Mar 1989,,,,270,Jul 2017,164,,,,,Drumcondra,7
11 Grandview Grove,"269,000",Mar 1989,"100,000",Jun 1986,,,,625,,3,,,Drumcondra,7
2/2 Wattletree Road,"91,500",Mar 1989,,,,,,625,,,,,Drumcondra,7
9 Mcmillan Avenue,"109,000",Mar 1989,,,,,,,,,,,Drumcondra,7
3/15 Mont Albert Road,"115,000",Mar 1989,,,,,,,,,,,Drumcondra,7
1/14 Glenleith Avenue,"93,500",Jul 1988,,,,290,Jun 2013,,,,,,Drumcondra,7
12 Vincent Avenue,"105,000",Jun 1987,,,,,,,,,,,Drumcondra,7
21 Bell Parade,"101,000",May 1987,,,,,,652,,3,3,3,Drumcondra,7
