Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
11 Coastside Drive,"803,000",Oct 2020,"655,000",Nov 2017,,,,451,345,5,3,2,Armstrong Creek,1
2179 Warralily Boulevard,"599,000",Oct 2020,,,,,,448,,,,,Armstrong Creek,1
17 Esperance Avenue,"509,000",Oct 2020,,,,,,400,,3,2,2,Armstrong Creek,1
5 Jacana Way,"575,000",Oct 2020,,,,,,314,,4,2,2,Armstrong Creek,1
21 Jindabyne Street,"520,000",Oct 2020,,,,,,336,,,,,Armstrong Creek,1
203/28 Atherton Street,"275,000",Oct 2020,,,,,,,,,,,Armstrong Creek,1
15 Maroubra Street,"716,000",Oct 2020,"585,000",Jul 2017,,,,511,,4,2,2,Armstrong Creek,1
24 Freshwater Drive,"770,000",Oct 2020,"218,000",Aug 2010,,,,601,267,4,3,2,Armstrong Creek,1
LOT 4311 Currumbin Street,"447,504",Oct 2020,,,,,,290,,3,2,1,Armstrong Creek,1
4 Haven Court,"434,000",Oct 2020,,,,,,167,,3,2,2,Armstrong Creek,1
11 Haven Court,"432,000",Oct 2020,,,,,,167,,3,2,2,Armstrong Creek,1
135 Warralily Boulevard,"535,000",Oct 2020,"175,000",Apr 2012,,360,Aug 2017,532,154,,,,Armstrong Creek,1
6 Summerbreeze Way,"687,500",Oct 2020,,,,,,528,,,,,Armstrong Creek,1
14 Romley Avenue,"499,000",Oct 2020,,,,,,348,,3,2,1,Armstrong Creek,1
65 Carter Road,"474,000",Oct 2020,,,,,,168,,,,,Armstrong Creek,1
44 Monterey Street,"459,000",Oct 2020,,,,,,185,,,,,Armstrong Creek,1
40 Monterey Street,"459,000",Oct 2020,,,,,,185,,,,,Armstrong Creek,1
17 Maroubra Street,"635,000",Oct 2020,"545,000",Jul 2017,,,,512,,4,2,2,Armstrong Creek,1
20 Daybreak Avenue,"565,000",Oct 2020,"497,500",Jun 2019,,400,Apr 2016,385,,4,2,2,Armstrong Creek,1
9 Tenneyson Close,"550,000",Oct 2020,"390,000",Jul 2016,,400,Nov 2014,504,170,4,2,2,Armstrong Creek,1
Lot 524/99 Naturaliste Way,"252,010",Oct 2020,,,,,,,,,,,Armstrong Creek,1
12 Delta Drive,"520,000",Oct 2020,"158,000",Jun 2012,,,,400,,,,,Armstrong Creek,1
13 Seal Street,"565,000",Oct 2020,,,,,,391,,4,2,2,Armstrong Creek,1
141 Ambrosia Drive,"277,000",Oct 2020,,,,,,400,,,,,Armstrong Creek,1
241 Warralily Boulevard,"531,000",Oct 2020,,,,440,Apr 2019,398,,4,2,2,Armstrong Creek,1
17 Lismore Street,"540,000",Oct 2020,,,,,,369,,4,2,2,Armstrong Creek,1
11 Tamarillo Street,"685,000",Oct 2020,"174,000",Oct 2013,,,,447,262,,,,Armstrong Creek,1
7 Seifferts Street,"512,000",Oct 2020,"179,500",Jun 2012,,,,447,,,,,Armstrong Creek,1
Lot 1524 Chamberlan Drive,"489,990",Sep 2020,,,,,,336,,4,2,2,Armstrong Creek,1
Lot 740 Fawkner Crescent,"442,990",Sep 2020,,,,,,313,,3,2,2,Armstrong Creek,1
27 Shearwater Drive,"475,000",Sep 2020,"158,000",Sep 2016,,380,Apr 2018,336,,4,2,2,Armstrong Creek,1
66 Carter Road,"474,000",Sep 2020,,,,,,184,,,,,Armstrong Creek,1
49 Monterey Street,"459,000",Sep 2020,,,,,,172,,3,2,2,Armstrong Creek,1
33 Monterey Street,"459,000",Sep 2020,,,,,,185,,,,,Armstrong Creek,1
Lot 8014/19 Sail Court,"340,000",Sep 2020,,,,,,544,,,,,Armstrong Creek,1
Lot 8014 19 Sail Court,"340,000",Sep 2020,,,,,,,,,,,Armstrong Creek,1
Lot 11803 18-22 Reeve Avenue,"422,500",Sep 2020,,,,,,696,,,,,Armstrong Creek,1
Lot 11803/18-22 Reeve Avenue,"422,500",Sep 2020,,,,,,696,,,,,Armstrong Creek,1
10 Simony Drive,"459,900",Sep 2020,,,,,,284,,3,2,1,Armstrong Creek,1
1 Lyall Street,"550,000",Sep 2020,,,,,,367,,3,2,2,Armstrong Creek,1
7 Cloudbreak Street,"600,000",Sep 2020,"175,000",Jul 2014,,,,442,,4,2,,Armstrong Creek,1
45 Carter Road,"538,000",Sep 2020,"365,000",Aug 2016,,360,May 2015,484,153,4,2,2,Armstrong Creek,1
8 Summerbreeze Way,"630,000",Sep 2020,"199,500",Apr 2013,,,,528,189,,,,Armstrong Creek,1
10 Southwinds Road,"670,000",Sep 2020,"200,000",May 2013,,,,568,239,,,,Armstrong Creek,1
