Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
3 Minka Court,"381,000",Mar 2017,"336,000",Mar 2010,,450,Jun 2020,853,,,,,Marshall,18
47 Barwarre Road,"420,000",Feb 2017,"142,000",Jul 2009,,,,437,173,,,,Marshall,18
2-4 Basford Court,"364,000",Jan 2017,"307,000",Oct 2013,,,,448,,3,1,1,Marshall,18
18 Werner Avenue,"395,000",Jan 2017,"147,000",Mar 2009,,,,484,,4,1,1,Marshall,18
6/66 Station Road,"305,000",Jan 2017,"85,000",Feb 2000,,,,243,,,,,Marshall,18
15 Macfarlane Street,"412,750",Dec 2016,"154,000",Mar 2009,,,,550,150,3,2,2,Marshall,18
14/66 Station Road,"350,000",Dec 2016,"85,000",Feb 2000,,,,188,,,,,Marshall,18
6/64-68 Station Road,"305,000",Dec 2016,,,,,,,,2,1,,Marshall,18
16/64-68 Station Road,"370,000",Dec 2016,,,,,,,,,,,Marshall,18
6 Emilija Court,"307,000",Nov 2016,"275,000",May 2010,,300,Dec 2015,265,96,2,1,1,Marshall,18
5 Priory Court,"470,000",Nov 2016,"440,000",Feb 2014,,,,714,,4,2,2,Marshall,18
31 St Cuthberts Court,"455,000",Oct 2016,"125,000",Feb 2000,,,,629,229,4,2,3,Marshall,18
13 Macfarlane Street,"440,000",Oct 2016,"159,000",Jul 2009,,,,530,168,4,2,2,Marshall,18
1/3 Inala Court,"270,000",Sep 2016,"158,500",Sep 2002,,340,Nov 2019,363,,,,,Marshall,18
10 Marvins Place,"368,000",Sep 2016,"145,000",Jun 2009,,370,Jul 2016,496,,3,2,2,Marshall,18
5 Liam Lane,"426,500",Sep 2016,"366,000",Jul 2009,,,,"2,272",158,3,2,5,Marshall,18
28 Macfarlane Street,"355,000",Sep 2016,"325,000",Aug 2012,,410,Feb 2020,377,114,3,2,1,Marshall,18
14 Orpington Crescent,"161,000",Aug 2016,"150,000",Jan 2012,,,,374,185,,,,Marshall,18
153 Barwarre Road,"275,000",Aug 2016,,,,,,145,,3,1,1,Marshall,18
2 Inala Court,"408,000",Aug 2016,"58,500",Apr 1983,,420,Oct 2017,"1,392",163,4,2,2,Marshall,18
18 Marvins Place,"390,000",Aug 2016,,,,375,Aug 2015,487,,3,2,2,Marshall,18
3/10 Oriondo Way,"325,000",Jul 2016,"156,000",Jan 2012,,,,353,,,,,Marshall,18
27 Krisanway Drive,"350,000",Jul 2016,"122,900",Mar 2009,,,,331,131,3,2,1,Marshall,18
3 Barwarre Road,"425,000",Jul 2016,"172,500",Jun 2012,,460,Aug 2018,544,,4,2,2,Marshall,18
9 Emilija Court,"425,000",May 2016,"143,000",Dec 2008,,,,482,,3,2,2,Marshall,18
62-80 Horseshoe Bend Road,"1,310,000",May 2016,"635,000",Feb 2011,,540,Oct 2017,"48,400",,,,,Marshall,18
12 Ardeche Lane,"177,000",May 2016,"172,500",May 2012,,,,526,,,,,Marshall,18
35 Werner Avenue,"395,000",May 2016,"372,800",May 2013,,,,481,143,4,2,2,Marshall,18
52 Marshalltown Road,"175,000",May 2016,,,,,,480,,,,,Marshall,18
Lot 23 232-270 Barwon Heads Road,"170,000",May 2016,,,,,,,,,,,Marshall,18
76 Station Road,"395,000",May 2016,,,,,,399,,,,,Marshall,18
23 272-280 Barwarre Road 'Barwarre Estate Stage 7',"170,000",May 2016,,,,,,416,,,,,Marshall,18
Lot 23,"170,000",May 2016,,,,,,416,,,,,Marshall,18
14 Badminton Court,"454,000",May 2016,"180,000",May 2014,,,,480,209,4,2,2,Marshall,18
22 Adair Court,"360,000",May 2016,"168,000",Nov 2010,,,,464,,3,2,2,Marshall,18
9 Esme Court,"165,000",Apr 2016,,,,390,Jan 2017,386,137,3,2,2,Marshall,18
Lot 25 9 Esme Court,"165,000",Apr 2016,,,,,,,,,,,Marshall,18
25 272-280 Barwarre Road 'Barwarre Estate Stage 7',"165,000",Apr 2016,,,,,,386,,,,,Marshall,18
"Lot 25, 232-270 Esme Court","165,000",Apr 2016,,,,,,386,,,,,Marshall,18
6 St Cuthberts Court,"340,000",Apr 2016,"100,000",Aug 2005,,330,Jul 2015,374,120,3,2,4,Marshall,18
26B MACFARLANE Street,"179,500",Apr 2016,,,,425,Nov 2018,407,,,,,Marshall,18
6 Krisanway Drive,"446,000",Mar 2016,,,,,,580,168,4,2,2,Marshall,18
16 MORETTI Court,"171,500",Mar 2016,,,,400,Apr 2018,301,,,,,Marshall,18
24 Basford Court,"429,000",Mar 2016,,,,,,,,4,2,2,Marshall,18
440 Barwon Heads Road,"912,000",19 Mar 2016,,,1.0,,,,,,,,Marshall,18
17 MORETTI Court,"171,500",Feb 2016,,,,410,Dec 2019,301,,,,,Marshall,18
