Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
7/29 Boundary Road,"335,000",Nov 2018,"188,000",Oct 2012,,320,Nov 2018,91,,,,,Newcomb,20
124 Wilsons Road,"525,000",03 Nov 2018,"290,000",Apr 2013,1.0,290,Jan 2009,669,6215,3,1,2,Newcomb,20
2/68 Watsons Road,"361,000",Oct 2018,"267,000",Oct 2013,,320,Jan 2019,166,,,,,Newcomb,20
47 Mercury Crescent,"420,000",Oct 2018,"315,000",Jul 2016,,360,Apr 2019,827,104,3,1,2,Newcomb,20
6 Andrew Street,"360,000",13 Oct 2018,"230,000",Dec 2013,1.0,,,538,,3,1,3,Newcomb,20
15 Anthony Street,"465,000",Sep 2018,"274,000",Dec 2010,,285,Feb 2011,776,119,3,1,2,Newcomb,20
2/126 Wilsons Road,"350,000",Sep 2018,"270,000",Apr 2013,,300,Dec 2017,205,,,,,Newcomb,20
1 Glover Street,"501,000",Sep 2018,"52,000",Mar 1985,,350,Aug 2019,648,,3,1,2,Newcomb,20
12 Watsons Road,"551,000",Sep 2018,"300,000",Dec 2013,,290,Jan 2014,604,,4,1,2,Newcomb,20
14 Portarlington Road,"596,400",Sep 2018,"345,000",Feb 2008,,430,Jun 2019,819,,3,1,2,Newcomb,20
45 Andrew Street,"407,000",Sep 2018,"55,000",Dec 1987,,300,Oct 2018,543,,3,1,3,Newcomb,20
26 Gibbs Street,"411,000",Sep 2018,"162,000",Mar 2006,,330,Jan 2019,554,,3,1,1,Newcomb,20
18 Charlotte Avenue,"543,000",15 Sep 2018,"74,000",Aug 2000,1.0,310,Nov 2018,609,,2,1,1,Newcomb,20
118 Helms Street,"550,000",10 Sep 2018,"355,000",Nov 2011,1.0,,,816,157,3,2,2,Newcomb,20
6 Bain Court,"505,000",Sep 2018,"305,000",Apr 2011,,320,May 2013,721,,3,1,2,Newcomb,20
12a Cheltenham Road,"452,000",Sep 2018,"355,000",Oct 2016,,,,252,,,,,Newcomb,20
149 Bellarine Highway,"780,000",Sep 2018,,,,300,Dec 2018,"3,871",,,,,Newcomb,20
1a Charles Street,"435,000",Aug 2018,"312,500",Apr 2013,,340,Apr 2013,267,,,,,Newcomb,20
20 Charlotte Avenue,"436,000",18 Aug 2018,"185,000",Aug 2003,1.0,300,Nov 2018,613,,3,1,1,Newcomb,20
74 Bellarine Highway,"452,000",04 Aug 2018,"190,000",Jun 2006,1.0,,,787,,2,1,6,Newcomb,20
2 Adzar Road,"540,000",01 Aug 2018,"212,000",Feb 2000,1.0,,,706,,3,1,4,Newcomb,20
48 Richard Street,"473,300",Jul 2018,"305,000",Jul 2011,,380,Sep 2018,640,,4,2,3,Newcomb,20
17 Brayshay Road,"525,000",Jul 2018,"210,000",Dec 2005,,350,Oct 2018,664,113,3,1,2,Newcomb,20
9/51 Helms Street,"440,000",Jul 2018,"330,000",Jan 2012,,,,528,,,,,Newcomb,20
13 Miller Street,"440,000",14 Jul 2018,"190,000",Apr 2004,1.0,275,Oct 2010,661,,3,1,2,Newcomb,20
22 Brayshay Road,"480,000",Jul 2018,"240,000",Jul 2011,,260,Sep 2014,664,,2,1,2,Newcomb,20
47 Pitman Street,"407,500",Jul 2018,"257,500",Dec 2012,,360,Oct 2019,395,,3,1,3,Newcomb,20
34 Hibiscus Crescent,"390,000",Jul 2018,"278,000",Jan 2014,,290,May 2017,536,,4,1,1,Newcomb,20
151 Boundary Road,"441,000",Jul 2018,"280,000",Dec 2011,,290,Apr 2016,596,142,3,1,1,Newcomb,20
10 Pitman Street,"452,000",Jul 2018,"72,500",Apr 2000,,360,Sep 2018,592,,3,1,2,Newcomb,20
22 Wilton Avenue,"508,000",30 Jun 2018,,,1.0,380,Jan 2019,654,,3,1,2,Newcomb,20
16 Charles Street,"462,500",30 Jun 2018,"82,000",Jul 1993,1.0,,,594,,2,1,1,Newcomb,20
1/5-7 Lindel Street,"400,000",Jun 2018,"315,000",Aug 2014,,335,Aug 2014,267,,3,2,2,Newcomb,20
59 Brayshay Road,"470,000",Jun 2018,,,,,,669,,3,1,1,Newcomb,20
