Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
5 Hickey Street,"450,000",Jul 2018,,,,,,679,,3,1,1,Whittington,31
9/117 Solar Drive,"221,000",Jul 2018,"76,000",Oct 2002,,230,Jan 2017,134,41,2,1,1,Whittington,31
1/12 Freesia Court,"350,000",Jul 2018,"76,000",Aug 1991,,275,Dec 2017,193,,,,,Whittington,31
1/16 Dew Street,"295,000",Jul 2018,"205,000",Mar 2015,,260,Sep 2015,402,100,3,1,1,Whittington,31
165 Townsend Road,"416,000",Jun 2018,"265,000",Nov 2005,,370,Aug 2018,714,,3,2,4,Whittington,31
3/67 Townsend Road,"175,000",Jun 2018,"105,000",Feb 2000,,150,Apr 2012,50,,,,,Whittington,31
183 Solar Drive,"338,500",Jun 2018,"190,000",Feb 2012,,290,Jan 2019,766,,3,1,1,Whittington,31
9 Planet Court,"390,000",Jun 2018,,,,,,961,,4,1,1,Whittington,31
32 Oxford Street,"406,000",Jun 2018,"227,000",Nov 2004,,190,Aug 2004,645,,3,2,2,Whittington,31
20 Freedom Court,"343,000",May 2018,"225,000",Jun 2011,,220,Feb 2010,776,,3,1,4,Whittington,31
17 Koala Court,"430,000",May 2018,"116,840",Feb 2000,,,,500,,4,2,2,Whittington,31
21 Hickey Street,"475,000",May 2018,"333,000",Jul 2012,,410,Jul 2018,683,142,4,2,6,Whittington,31
162 Wilsons Road,"450,000",May 2018,"255,000",Mar 2005,,320,May 2017,"1,033",134,4,1,1,Whittington,31
128 Coppards Road,"412,000",May 2018,"230,000",Jul 2007,,,,581,,3,1,4,Whittington,31
45 Oxford Street,"360,000",May 2018,"177,000",Nov 2007,,300,Oct 2017,606,,3,1,2,Whittington,31
37B Oxford Street,"405,000",Apr 2018,,,,360,Dec 2013,412,,,,,Whittington,31
8 5 Oxford Street,"300,000",Apr 2018,,,,,,,,,,,Whittington,31
8/5 OXFORD Street,"300,000",Apr 2018,,,,,,"9,343",,,,,Whittington,31
25 Bellagio Court,"420,000",Apr 2018,"270,002",Apr 2013,,370,Mar 2018,394,124,3,2,2,Whittington,31
12 Katrina Place,"395,000",Mar 2018,,,,,,,,,,,Whittington,31
12 Katarina Place,"395,000",Mar 2018,"205,000",Apr 2003,,340,Feb 2019,534,,,,,Whittington,31
111 Townsend Road,"313,500",Mar 2018,"130,000",Oct 2006,,300,Jul 2019,398,,3,1,2,Whittington,31
47 Townsend Road,"410,000",Mar 2018,"265,000",May 2010,,350,May 2018,778,154,3,1,4,Whittington,31
32 Thompson Street,"512,000",Mar 2018,"100,000",Feb 1997,,,,946,,1,2,2,Whittington,31
55 Truscott Street,"480,000",Mar 2018,"330,000",Mar 2011,,,,735,212,5,3,4,Whittington,31
8 Challenger Close,"290,000",Feb 2018,"220,000",Feb 2016,,255,May 2016,609,98,3,1,4,Whittington,31
26 Truscott Street,"442,000",24 Feb 2018,"128,250",Dec 2001,1.0,300,May 2018,725,,2,1,2,Whittington,31
1/166 Coppards Road,"265,000",Feb 2018,"192,000",Feb 2011,,240,Jan 2014,297,,,,,Whittington,31
19 Solar Drive,"342,000",Feb 2018,"159,000",Feb 2005,,320,Jul 2019,654,,3,1,2,Whittington,31
4 Solar Drive,"310,000",Jan 2018,"178,000",Mar 2006,,,,567,169,3,1,3,Whittington,31
2-11 Greenwood Street,"435,000",Jan 2018,,,,,,,,,,,Whittington,31
19 Freedom Court,"269,000",Dec 2017,"64,000",Jan 1998,,270,Mar 2018,635,,3,1,2,Whittington,31
5 Vincent Court,"317,000",Dec 2017,"171,000",Oct 2006,,300,Jul 2019,339,,2,1,1,Whittington,31
4 Pandora Court,"460,000",Dec 2017,"233,000",Nov 2005,,380,Feb 2018,981,200,3,1,4,Whittington,31
48 Hickey Street,"341,000",Dec 2017,,,,280,Jan 2018,680,,2,1,2,Whittington,31
8 Bettsons Court,"447,550",Dec 2017,,,,370,Jan 2018,762,,3,2,2,Whittington,31
2 Katarina Place,"295,000",Dec 2017,"200,000",Mar 2006,,,,280,,2,1,1,Whittington,31
20 Truscott Street,"429,900",Dec 2017,"330,000",Aug 2016,,,,729,,4,2,2,Whittington,31
77 Solar Drive,"326,000",Nov 2017,"182,500",Mar 2009,,310,Dec 2017,649,,3,1,3,Whittington,31
13 Armstrong Court,"320,000",Nov 2017,"118,000",Mar 2003,,330,Mar 2019,644,,3,1,1,Whittington,31
