Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
3/05/2019,9.7,19.7,0.4,,,NNW,31,12:19:00,14.1,77,,NW,9,1016.8,18.8,46,,NW,13,1013.7
4/05/2019,11,16.5,0,,,SW,41,15:07:00,12.7,86,,W,13,1019.5,16,66,,SSW,28,1020.8
5/05/2019,11,18,0.6,,,S,30,12:41:00,13,91,,W,11,1025.9,15.9,60,,S,17,1024.7
6/05/2019,10.7,17.4,0.2,,,S,28,13:03:00,11.9,94,,WNW,9,1023.5,16.6,52,,SSW,11,1020
7/05/2019,5.8,20.4,0,,,WNW,52,21:19:00,11.3,93,,NNE,6,1013.5,20,39,,NNW,22,1007.2
8/05/2019,10.7,16.8,5.8,,,WSW,46,12:48:00,12.6,93,,WNW,24,1010.6,15.2,60,,W,20,1013.3
9/05/2019,8.2,17.5,0,,,N,56,12:04:00,13.3,71,,N,13,1011.9,16.4,49,,N,26,1007.4
10/05/2019,9.7,13.2,30.4,,,S,59,12:14:00,11.4,96,,SSE,33,1013.1,12.3,86,,SSW,39,1016.3
11/05/2019,8.6,15.8,4,,,W,31,14:38:00,10.6,95,,WNW,19,1025.3,15.4,83,,W,19,1024.6
12/05/2019,10.6,17.3,0,,,NW,33,11:08:00,13,93,,NW,15,1027.8,16.9,71,,WNW,11,1026.2
13/05/2019,10.6,17.9,0,,,NNW,35,11:45:00,13.4,86,,N,11,1027.1,16.9,58,,NNW,20,1023.9
14/05/2019,7.1,19.7,0,,,NW,44,12:03:00,13.4,81,,NW,11,1028,18.2,62,,WNW,15,1027
15/05/2019,8.5,16.7,0,,,WSW,22,14:13:00,12.6,93,,WNW,4,1031.8,15.5,60,,SW,11,1030.2
16/05/2019,9.9,16.4,0,,,NNE,15,11:57:00,11.9,93,,NNW,4,1029.5,15.6,59,,ESE,6,1026.5
17/05/2019,4.3,18.8,0,,,NW,19,13:12:00,8.8,96,,WNW,4,1028.1,17.3,60,,NE,6,1026.2
18/05/2019,4.8,18.8,0,,,SE,19,16:12:00,8,97,,,Calm,1030.6,18.4,55,,E,6,1027.9
19/05/2019,6.1,22.6,0,,,NE,24,23:59:00,9.5,98,,,Calm,1028.4,22.1,44,,NE,15,1024
20/05/2019,9.4,20.1,3.2,,,NNW,37,14:00:00,15.4,91,,N,19,1020,19,70,,NNW,19,1017.1
21/05/2019,11.4,18.5,2.2,,,NW,28,12:00:00,14.3,84,,N,9,1022.8,18.2,64,,NNW,17,1021.6
22/05/2019,7.7,20,0,,,WNW,20,12:32:00,13,94,,N,7,1028,19.6,53,,WSW,7,1026.1
23/05/2019,5.7,22.7,0,,,NW,35,14:13:00,9.2,98,,,Calm,1026,22.6,43,,NNW,17,1020.5
24/05/2019,9.2,23.1,0.2,,,NW,52,14:30:00,14.9,66,,NW,15,1018.1,22.4,43,,NNW,31,1012
25/05/2019,9,17.6,1.6,,,NW,44,15:41:00,13.5,92,,NW,7,1013.2,17,77,,NW,15,1009.3
26/05/2019,8.8,15,0.8,,,W,72,19:19:00,10.8,78,,NW,17,1013.2,14.1,62,,NNW,22,1008
27/05/2019,6,13.8,10.4,,,WNW,61,10:13:00,7.2,93,,WNW,31,1006.8,13.1,64,,WSW,28,1009.6
28/05/2019,6.9,15.1,0.4,,,WNW,59,20:26:00,11.7,86,,NW,30,1008.1,14.6,68,,W,33,1003.7
29/05/2019,6.4,9.6,4.4,,,WNW,59,09:11:00,7.5,82,,WNW,30,1002.1,6.8,93,,SW,33,1006.5
30/05/2019,5.3,13,11.4,,,W,41,13:45:00,8.4,92,,W,17,1021.6,12.1,71,,W,22,1022
31/05/2019,8.3,13.8,0.2,,,SSW,31,13:20:00,11.6,95,,WSW,7,1027.2,13.4,83,,SW,17,1027.7
1/06/2019,11.5,15,0.4,,,S,22,04:30:00,12.5,90,,W,7,1032.9,14.5,69,,SSW,15,1031.1
2/06/2019,10.1,13.4,0,,,W,39,15:12:00,11,93,,NW,11,1028,11.4,93,,WNW,22,1022.4
3/06/2019,8.1,12.1,32.8,,,S,70,05:52:00,11.2,97,,S,33,1021,11.3,75,,S,30,1022.8
4/06/2019,8.7,13,2.2,,,S,44,11:47:00,11,65,,SSE,26,1028.3,12.4,65,,S,22,1029.1
5/06/2019,8.8,13.3,0.4,,,W,30,13:23:00,10,93,,W,7,1033.1,12.4,62,,W,17,1031.5
6/06/2019,9.5,15.4,0,,,WNW,28,01:42:00,11.6,95,,W,11,1034.6,14.5,87,,S,17,1034
7/06/2019,11.2,14.6,0,,,NNE,15,12:27:00,11.7,89,,WNW,6,1036.7,13.4,78,,E,4,1033.4
8/06/2019,2.3,18.4,0,,,WNW,20,16:35:00,6.5,97,,,Calm,1028.8,17.4,58,,NE,2,1023
9/06/2019,4.8,19.1,0,,,NNW,44,14:38:00,9,97,,N,6,1020.8,18,40,,NNW,20,1016.6
10/06/2019,8.9,17.1,2.2,,,NNW,65,09:53:00,14.8,68,,NNW,26,1009.1,16,61,,WNW,24,1012
11/06/2019,5.8,18.7,0,,,NW,30,13:37:00,10.9,95,,N,7,1021.8,18.5,55,,NNW,17,1019.6
12/06/2019,10.9,15.2,3,,,WNW,48,17:10:00,13.7,94,,NNE,11,1012.7,14.8,96,,N,11,1008.2
13/06/2019,7.8,16.3,16.4,,,NW,46,14:27:00,10.5,92,,NNW,15,1014.9,15.3,68,,NW,20,1013.6
14/06/2019,7.8,15.6,1.6,,,NNW,41,12:37:00,10,94,,N,4,1017.9,15.3,73,,NW,22,1015.1
15/06/2019,6.7,15.2,1.2,,,WNW,26,11:21:00,10.3,95,,N,6,1021.2,14,77,,WNW,9,1020.2
16/06/2019,6.2,16.6,0,,,NNW,20,16:41:00,8.9,97,,,Calm,1022.8,15,78,,WNW,7,1021
17/06/2019,5.3,16.9,0.6,,,NNW,31,16:07:00,8.8,96,,N,6,1023,16.4,67,,NNE,4,1019.9
18/06/2019,8.8,13.5,0.8,,,WNW,37,10:31:00,10.2,93,,NNW,17,1016.2,9.5,93,,WNW,9,1018.8
19/06/2019,4.8,11.9,3.6,,,WNW,26,11:06:00,5.8,94,,WNW,11,1026.2,10.1,93,,SSW,4,1025.9
20/06/2019,5.3,11.2,1.4,,,SE,20,16:23:00,6.6,96,,N,4,1026.4,10.3,93,,W,2,1024.9
21/06/2019,3.8,13.2,11.8,,,S,30,12:41:00,6.2,97,,WNW,9,1029.5,12.2,81,,S,13,1029.5
22/06/2019,4.7,13,2,,,S,22,13:40:00,6.1,95,,E,2,1031.6,11.2,73,,S,9,1030.1
23/06/2019,3.1,13.2,0.8,,,WNW,20,06:53:00,4.3,97,,WNW,7,1032,11.5,79,,SE,11,1031.2
24/06/2019,0.3,10.5,0.2,,,NE,17,11:38:00,2.4,97,,,Calm,1034.1,10.3,93,,NNE,4,1032.1
25/06/2019,0.5,14.4,0.2,,,NE,15,13:35:00,2.9,97,,NW,2,1034.5,12.6,59,,ENE,6,1032.7
26/06/2019,2,15.8,0,,,NNE,13,19:01:00,6.1,97,,NNE,2,1035.5,15.2,63,,ENE,6,1032.6
27/06/2019,4.5,16.9,0.2,,,NNE,30,16:11:00,10.3,86,,NNE,17,1031.9,16.8,57,,NNE,19,1027.5
28/06/2019,9.5,18.5,0,,,NNE,35,13:48:00,11.9,80,,NNE,13,1026,18.3,58,,N,19,1021.1
29/06/2019,11.9,13.9,2.8,,,WNW,56,16:17:00,12.2,95,,NE,19,1013.4,13.2,95,,NNE,22,1004.1
30/06/2019,7.8,14,7.4,,,NW,59,13:12:00,9,78,,NNW,11,1017,13.6,63,,NW,24,1017.4
1/07/2019,9.1,14.1,0,,,NNW,54,10:54:00,10.3,75,,N,15,1020.4,12.7,55,,NNW,26,1016.2
2/07/2019,9,15.2,0,,,WNW,41,11:22:00,11.6,80,,NW,13,1018.4,14,74,,WNW,19,1019.5
