,address,sold,last sold,rent,house_info,land_size
13,80 Foster Street,"Sold $560,000 in Jul 2019","Last Sold $395,000 in May 2010",Rent $395pw in Sep 2019,House: 3  1  2 ,Land size: 404 sqm | Building size: 115 sqm
14,290 Bellerine Street,"Sold $618,000 in Jul 2019","Last Sold $382,500 in Jul 2012", ,House: 3  1  1 ,Land size: 459 sqm | Building size: 121 sqm
15,14 Lonsdale Street,"Sold $785,000 in Jun 2019", , ,House: 3  1  3 ,Land size: 486 sqm
16,10 Lonsdale Street,"Sold $617,500 in 13 Apr 2019(Auction)","Last Sold $126,000 in Aug 1996", ,House: 3  1  1 ,Land size: 486 sqm
17,170 Swanston Street,"Sold $575,000 in 30 Mar 2019(Auction)", ,Rent $350pw in Jul 2019,House: 2  1  1 ,Land size: 446 sqm
18,163 Swanston Street,"Sold $573,000 in 30 Mar 2019(Auction)","Last Sold $295,000 in Feb 2013", ,House: 3  1  1 ,Land size: 310 sqm | Building size: 104 sqm
19,17 Balliang Street,"Sold $755,000 in Mar 2019","Last Sold $450,000 in Oct 2012",Rent $450pw in Oct 2012,House: 3  2  2 ,Land size: 460 sqm | Building size: 150 sqm
20,8 Lonsdale Street,"Sold $1,120,000 in 23 Feb 2019(Auction)","Last Sold $185,000 in Nov 2001",Rent $650pw in Dec 2017,House: 4  3  3 ,Land size: 487 sqm
21,46 Balliang Street,"Sold $760,000 in Feb 2019","Last Sold $430,000 in Oct 2008",Rent $190pw in Nov 2006,House: 3  2  ,Land size: 562 sqm | Building size: 126 sqm
22,2/87 Fyans Street,"Sold $590,000 in 25 Jan 2019(Auction)","Last Sold $130,000 in Jan 2014", ,House: 3  2  2 ,Land size: 304 sqm | Building size: 119 sqm
23,2/42 Park Crescent,"Sold $400,000 in Dec 2018","Last Sold $305,000 in Aug 2012", , ,Land size: 429 sqm
24,298 Bellerine Street,"Sold $650,000 in Dec 2018","Last Sold $243,000 in Jul 2003", ,House: 3  2  2 ,Land size: 508 sqm
25,2/42-44 Park Crescent,"Sold $400,000 in Dec 2018","Last Sold $305,000 in Aug 2012",Rent $310pw in Apr 2020, ,Land size: 429 sqm
26,50 Balliang Street,"Sold $680,000 in 16 Nov 2018(Auction)","Last Sold $74,000 in Feb 2000", ,House: 4  1  2 ,Land size: 563 sqm
27,69 Balliang Street,"Sold $980,000 in Oct 2018","Last Sold $520,000 in Mar 2013",Rent $250pw in Nov 2010,House: 3  1  1 ,Land size: 927 sqm | Building size: 114 sqm
28,2/80 Balliang Street,"Sold $351,500 in Oct 2018","Last Sold $230,000 in Sep 2016",Rent $330pw in Feb 2020, ,Land size: 326 sqm
29,78 Foster Street,"Sold $600,000 in 13 Oct 2018(Auction)","Last Sold $220,000 in Aug 2008", ,House: 2  2  2 ,Land size: 405 sqm | Building size: 84 sqm
30,14 Verner Street,"Sold $612,550 in Sep 2018", , ,House: 3  1  1 ,Land size: 485 sqm
31,5/3 Findon Street,"Sold $426,000 in Sep 2018","Last Sold $215,000 in Apr 2006", , ,Land size: 169 sqm
32,259-263 Bellerine Street,"Sold $3,150,000 in Aug 2018", , , ,"Land size: 5,872 sqm"
33,40 Verner Street,"Sold $830,000 in Jun 2018","Last Sold $475,000 in Sep 2007", ,House: 3  2  3 ,Land size: 485 sqm | Building size: 182 sqm
34,258 Bellerine Street,"Sold $720,000 in Jun 2018","Last Sold $355,000 in Jul 2004", ,House: 3  2  2 ,Land size: 319 sqm
35,2/258 Yarra Street,"Sold $782,000 in May 2018","Last Sold $610,000 in Feb 2000", ,Townhouse: 3  2  2 ,Land size: 220 sqm | Building size: 186 sqm
36,57 Balliang Street,"Sold $690,000 in 03 Mar 2018(Auction)","Last Sold $158,000 in Feb 2000",Rent $350pw in Jun 2015,House: 3  1  2 ,Land size: 464 sqm
37,276 Bellerine Street,"Sold $1,153,000 in Jan 2018","Last Sold $360,000 in Sep 2015(Auction)", ,House: 2  1  2 ,Land size: 140 sqm
38,7 Victory Place,"Sold $475,000 in Dec 2017", , ,Townhouse: 2  1  1 ,Land size: 265 sqm
39,188 Swanston Street,"Sold $880,000 in Dec 2017","Last Sold $230,000 in Mar 2005", ,House: 3  2  1 ,Land size: 337 sqm
40,29 Fyans Street,"Sold $640,000 in 13 Dec 2017(Auction)","Last Sold $123,000 in Jul 1998", ,House: 3  1  2 ,Land size: 342 sqm
41,231 Yarra Street,"Sold $1,100,000 in Dec 2017","Last Sold $525,000 in Feb 2000", ,House: 3  2  2 ,Land size: 477 sqm
