,address,sold,last sold,rent,house_info,land_size
95,24 Marvins Place,"Sold $439,000 in Oct 2017","Last Sold $145,000 in Aug 2009",Rent $410pw in Apr 2015,House: 3  2  2 ,Land size: 515 sqm
96,3/73-75 Marshalltown Road,"Sold $320,000 in Sep 2017","Last Sold $253,000 in Aug 2015", , ,Land size: 164 sqm
97,3/73 Marshalltown Road,"Sold $320,000 in Sep 2017","Last Sold $253,000 in Jul 2015", , ,Land size: 164 sqm
98,10 Werner Avenue,"Sold $472,000 in Sep 2017","Last Sold $139,800 in Feb 2000",Rent $410pw in Nov 2017,House: 4  2  2 ,Land size: 484 sqm | Building size: 182 sqm
99,2/9 Krisanway Drive,"Sold $325,000 in Sep 2017", ,Rent $310pw in Aug 2016, ,Land size: 225 sqm
100,2/73 Marshalltown Road,"Sold $270,000 in Sep 2017","Last Sold $230,000 in Jun 2010",Rent $255pw in Mar 2013, ,Land size: 164 sqm
101,2/73-75 Marshalltown Road,"Sold $270,000 in Sep 2017","Last Sold $230,000 in Feb 2010", , ,Land size: 164 sqm
102,1/68 Marshalltown Road,"Sold $300,000 in Aug 2017","Last Sold $87,500 in Jun 1996", , ,Land size: 183 sqm
103,17 Barwarre Road,"Sold $437,000 in Aug 2017","Last Sold $170,000 in Mar 2012", , ,Land size: 480 sqm | Building size: 170 sqm
104,10 Nikola Court,"Sold $460,000 in Jul 2017","Last Sold $380,000 in Jul 2015",Rent $430pw in May 2013,House: 4  2  2 ,Land size: 465 sqm | Building size: 161 sqm
105,161-167 Reserve Road,"Sold $114,972 in Jun 2017", ,Rent $350pw in Nov 2018,House: 3  1  1 ,"Land size: 4,047 sqm"
106,21 Orpington Crescent,"Sold $385,000 in Jun 2017","Last Sold $132,500 in Feb 2000",Rent $420pw in Apr 2019,House: 3  2  2 ,Land size: 299 sqm | Building size: 117 sqm
107,13 Werner Avenue,"Sold $469,000 in Jun 2017","Last Sold $380,000 in Jun 2010",Rent $425pw in May 2019,House: 4  2  2 ,Land size: 481 sqm | Building size: 170 sqm
108,2 Nikola Court,"Sold $407,500 in May 2017","Last Sold $144,900 in Sep 2009",Rent $380pw in Jun 2018,House: 3  2  2 ,Land size: 453 sqm | Building size: 127 sqm
109,33 Marvins Place,"Sold $400,000 in May 2017","Last Sold $353,000 in Apr 2011",Rent $385pw in Sep 2015,House: 4  2  2 ,Land size: 700 sqm
