,address,sold,last sold,rent,house_info,land_size
105,7/2 Pevensey Street,"Sold $395,000 in Dec 2018","Last Sold $232,000 in May 2006",Rent $270pw in Aug 2018, ,Land size: 740 sqm
106,198 Garden Street,"Sold $640,000 in Dec 2018","Last Sold $120,000 in Mar 2000", ,House: 3  1  5 ,Land size: 554 sqm
107,7/44 Myers Street,"Sold $520,000 in Dec 2018", ,Rent $450pw in Feb 2019, ,Land size: 48 sqm
108,16 Henry Street,"Sold $586,000 in 15 Dec 2018(Auction)", , ,House: 2  1  ,Land size: 421 sqm
109,303/64 Eastern Beach Road,"Sold $1,100,000 in 15 Dec 2018(Auction)", ,Rent $620pw in Feb 2019, , 
110,303/64-66 Eastern Beach Road,"Sold $1,100,000 in 15 Dec 2018(Auction)", , , , 
111,103 Swanston Street,"Sold $888,000 in Dec 2018","Last Sold $375,000 in Jan 2005", ,House: 3  2  1 ,Land size: 456 sqm
112,6 Richmond Street,"Sold $722,500 in 15 Dec 2018(Auction)","Last Sold $558,000 in Oct 2014(Auction)", ,House: 3  2  2 ,Land size: 523 sqm | Building size: 121 sqm
113,73 Swanston Street,"Sold $637,000 in Dec 2018","Last Sold $420,000 in Nov 2012",Rent $395pw in Nov 2016,House: 3  2  2 ,Land size: 427 sqm | Building size: 139 sqm
114,301/120 Brougham Street,"Sold $830,000 in Dec 2018","Last Sold $650,000 in Apr 2012",Rent $590pw in Jul 2012, ,Land size: 934 sqm | Building size: 135 sqm
115,8/73-75 Maud Street,"Sold $467,500 in 01 Dec 2018(Auction)","Last Sold $230,000 in Apr 2006",Rent $300pw in Oct 2016, ,Land size: 218 sqm
116,8/73 Maud Street,"Sold $467,500 in 01 Dec 2018(Auction)","Last Sold $230,000 in Apr 2006", , ,Land size: 218 sqm
117,6/44 Myers Street,"Sold $512,500 in Nov 2018", ,Rent $450pw in Dec 2018, ,Land size: 48 sqm
118,19 Pevensey Crescent,"Sold $1,890,000 in Nov 2018","Last Sold $825,000 in May 2003",Rent $850pw in Jan 2019,House: 4  3  3 ,"Land size: 1,124 sqm"
119,2/79 McKillop Street,"Sold $789,000 in Nov 2018","Last Sold $660,000 in Jan 2016",Rent $475pw in Apr 2009,Townhouse: 3  2  2 ,Land size: 239 sqm | Building size: 211 sqm
120,12 Western Beach Road,"Sold $1,190,000 in Nov 2018","Last Sold $825,000 in Dec 2003",Rent $750pw in Mar 2020,House: 3  2  2 ,Land size: 210 sqm
121,5/35 Mundy Street,"Sold $430,000 in Nov 2018","Last Sold $215,000 in Apr 2009",Rent $280pw in Apr 2017, ,Land size: 184 sqm
122,301/8 Gheringhap Street,"Sold $390,000 in Nov 2018","Last Sold $358,000 in May 2011",Rent $320pw in Aug 2017, ,Land size: 774 sqm
123,85 Maud Street,"Sold $1,520,000 in Nov 2018","Last Sold $116,000 in Dec 1991", ,House: 5  2  4 ,Land size: 447 sqm
124,72 Bellerine Street,"Sold $1,950,000 in 17 Nov 2018(Auction)", , , ,Land size: 751 sqm
125,125 Mckillop Street,"Sold $780,000 in 17 Nov 2018(Auction)","Last Sold $60,000 in Dec 1996", ,House: 3  1  2 ,Land size: 512 sqm
126,1-6/72 Bellerine Street,"Sold $1,950,000 in 17 Nov 2018(Auction)","Last Sold $1,510,000 in Dec 2014(Auction)",Rent $300pw in Oct 2016, , 
127,193 Kilgour Street,"Sold $907,000 in 17 Nov 2018(Auction)","Last Sold $480,000 in Oct 2010(Auction)",Rent $600pw in Jul 2019,House: 4  2  2 ,Land size: 480 sqm | Building size: 165 sqm
128,112/6-8 Eastern Beach Road,"Sold $412,000 in Nov 2018", ,Rent $360pw in Dec 2010,House: 1  1  1 , 
129,2/27 Richmond Crescent,"Sold $555,000 in Nov 2018","Last Sold $442,500 in Dec 2012",Rent $455pw in Jan 2019,Townhouse: 2  2  2 ,Land size: 226 sqm
130,6/17 The Esplanade,"Sold $543,000 in Nov 2018","Last Sold $375,000 in Nov 2013",Rent $300pw in Oct 2013, ,"Land size: 1,046 sqm"
131,213 Myers Street,"Sold $520,000 in Nov 2018","Last Sold $362,500 in Jun 2010",Rent $420pw in Jan 2020,House: 2  1  1 ,Land size: 269 sqm
132,22/61 Brougham Street,"Sold $1,400,000 in Oct 2018","Last Sold $725,000 in Dec 1998", , ,Land size: 829 sqm | Building size: 174 sqm
133,6 Davison Place,"Sold $710,000 in Oct 2018","Last Sold $195,000 in Aug 2010", ,Townhouse: 2  1  1 ,Land size: 166 sqm
134,19/61 Brougham Street,"Sold $935,000 in 27 Oct 2018(Auction)","Last Sold $330,000 in Sep 1996",Rent $500pw in Mar 2005, ,Land size: 829 sqm
135,109 Maud Street,"Sold $670,000 in Oct 2018","Last Sold $570,000 in Dec 2016(Auction)",Rent $410pw in Nov 2018,House: 3  1  3 ,Land size: 412 sqm
136,19 Board Place,"Sold $815,000 in 13 Oct 2018(Auction)","Last Sold $440,000 in May 2009", ,House: 3  1  ,Land size: 434 sqm
137,77 Little Myers Street,"Sold $635,000 in 13 Oct 2018(Auction)","Last Sold $84,000 in Aug 1997", ,House: 3  1  1 ,Land size: 161 sqm
