,address,sold,last sold,rent,house_info,land_size
115,66 Sovereign Drive,"Sold $455,000 in May 2019", ,Rent $385pw in May 2017,House: 3  2  1 ,"Land size: 8,501 sqm"
116,42 Armstrong Boulevard,"Sold $650,000 in May 2019","Last Sold $233,900 in Dec 2012", ,House: 4  2  2 ,Land size: 573 sqm
117,Lot 98 1 Honeyeater Way,"Sold $200,000 in Apr 2019", , , , 
118,18 Eminence Street,"Sold $470,000 in Apr 2019", ,Rent $390pw in Nov 2018,House: 3  2  2 ,Land size: 274 sqm
119,3 Neon Avenue,"Sold $495,000 in Apr 2019", ,Rent $425pw in Dec 2017,House: 4  2  2 ,Land size: 350 sqm
120,38 Conquest Street,"Sold $540,000 in Mar 2019", , ,House: 3  2  2 ,Land size: 367 sqm | Building size: 185 sqm
121,21 Remarkable Drive,"Sold $490,000 in Mar 2019","Last Sold $355,000 in Jun 2016", ,House: 3  2  1 ,Land size: 400 sqm
122,18 Remarkable Drive,"Sold $563,000 in Mar 2019","Last Sold $175,900 in Feb 2000", ,House: 4  2  4 ,Land size: 448 sqm | Building size: 181 sqm
123,5 BOEING Street,"Sold $710,000 in Mar 2019","Last Sold $241,900 in Jan 2015", ,House: 4  2  2 ,Land size: 647 sqm
124,30 Golden Wattle Drive,"Sold $600,000 in Mar 2019", , ,House: 4  2  2 ,Land size: 511 sqm
125,21 LUNAR Street,"Sold $547,000 in Mar 2019","Last Sold $177,900 in Nov 2014", ,House: 4  2  2 ,Land size: 392 sqm
126,26 Native Avenue,"Sold $770,000 in Feb 2019","Last Sold $200,000 in Dec 2013", ,House: 4  2  2 ,Land size: 529 sqm
127,20 Native Avenue,"Sold $348,000 in Feb 2019","Last Sold $190,000 in Nov 2013", , ,Land size: 461 sqm
128,15 Manna Gum Drive,"Sold $685,000 in Feb 2019","Last Sold $213,900 in Feb 2000", ,House: 4  2  2 ,Land size: 575 sqm
129,4 Grammar Street,"Sold $530,000 in Feb 2019", , ,House: 3  2  2 ,Land size: 252 sqm
130,10 GRAMMAR Street,"Sold $475,000 in Jan 2019","Last Sold $139,900 in Apr 2015", ,House: 3  2  2 ,Land size: 293 sqm
131,11 Conquest Street,"Sold $772,500 in Dec 2018", , ,House: 4  2  2 ,Land size: 684 sqm
132,13 COMPASS WAY,"Sold $530,000 in Dec 2018","Last Sold $158,900 in Mar 2016", ,House: 3  2  4 ,Land size: 349 sqm
133,16 Everlasting Terrace,"Sold $538,000 in Dec 2018","Last Sold $157,900 in Jun 2013", ,House: 3  2  2 ,Land size: 400 sqm
134,16 Lunar Street,"Sold $520,000 in Nov 2018", ,Rent $420pw in Jun 2017,House: 4  2  2 ,Land size: 350 sqm
135,4 Momentum Drive,"Sold $530,000 in Nov 2018", , ,House: 3  2  4 ,Land size: 400 sqm
136,53 Manna Gum Drive,"Sold $640,000 in Nov 2018", , ,House: 4  2  2 ,Land size: 448 sqm
137,6 Momentum Drive,"Sold $550,000 in Oct 2018", ,Rent $440pw in Dec 2019,House: 4  2  2 ,Land size: 400 sqm
138,49 ASPECT Road,"Sold $680,000 in Oct 2018","Last Sold $210,900 in Sep 2014", ,House: 4  2  2 ,Land size: 511 sqm
139,15 AVIATION Drive,"Sold $665,000 in Oct 2018","Last Sold $212,900 in Apr 2015", ,House: 4  2  2 ,Land size: 511 sqm
140,96 Armstrong Boulevard,"Sold $512,500 in Oct 2018", ,Rent $430pw in May 2019,Townhouse: 3  2  4 ,Land size: 195 sqm
141,Lot 807 7 Grammar Street,"Sold $315,000 in Oct 2018", , , , 
142,45 Unity Drive,"Sold $635,000 in Oct 2018", , ,House: 4  2  2 ,Land size: 511 sqm
143,Lot 244 Harlan Avenue,"Sold $294,000 in Sep 2018", , , , 
144,76 Unity Drive,"Sold $570,000 in Sep 2018", , ,House: 4  2  4 ,Land size: 507 sqm
145,30 Remarkable Drive,"Sold $470,000 in Sep 2018", ,Rent $430pw in Apr 2019,House: 3  2  2 ,Land size: 195 sqm
146,49 Aviation Drive,"Sold $430,000 in Sep 2018", ,Rent $400pw in Dec 2019,House: 2  2  1 ,Land size: 293 sqm
147,Lot 242 Harlan Avenue,"Sold $278,000 in Sep 2018", , , , 
148,54 Armstrong Boulevard,"Sold $640,000 in Sep 2018","Last Sold $219,900 in Feb 2000", ,House: 4  2  2 ,Land size: 555 sqm | Building size: 210 sqm
149,10 Everlasting Terrace,"Sold $540,000 in Sep 2018","Last Sold $158,900 in Apr 2013", ,House: 4  2  2 ,Land size: 400 sqm | Building size: 170 sqm
150,17 Lunar Street,"Sold $598,000 in Sep 2018", , ,House: 3  2  2 ,Land size: 390 sqm
151,Lot 246 Canyon Street,"Sold $269,000 in Aug 2018", , , , 
152,8 Blossom Avenue,"Sold $593,000 in Aug 2018","Last Sold $166,900 in Feb 2000", ,House: 4  2  2 ,Land size: 392 sqm
153,98 Armstrong Boulevard,"Sold $530,000 in Aug 2018","Last Sold $95,626 in Oct 2014", ,House: 3  2  2 ,Land size: 195 sqm
154,Lot 247 Canyon Street,"Sold $269,000 in Aug 2018", , , , 
155,24 Latitude Street,"Sold $505,000 in Aug 2018", , ,House: 3  2  2 ,Land size: 294 sqm
156,Lot 26 Orin Place,"Sold $210,000 in Aug 2018", , , , 
157,15 Mount Duneed Road,"Sold $1,800,000 in Aug 2018", , ,House: 5  3  2 , 
