,address,sold,last sold,rent,house_info,land_size
28,93 Townsend Road,"Sold $325,000 in Dec 2019","Last Sold $207,000 in Mar 2010", ,House: 3  1  1 ,Land size: 557 sqm
29,26 Chapel Street,"Sold $440,000 in Nov 2019","Last Sold $318,000 in Aug 2016", ,House: ,Land size: 510 sqm
30,1/117-121 Solar Drive,"Sold $175,000 in Nov 2019", , , ,Land size: 91 sqm
31,70 Solar Drive,"Sold $355,000 in Nov 2019","Last Sold $215,000 in Feb 2009", ,House: 3  2  2 ,Land size: 553 sqm
32,23 Truscott Street,"Sold $500,000 in Nov 2019","Last Sold $320,000 in Jan 2014", ,House: 4  1  4 ,Land size: 837 sqm | Building size: 148 sqm
33,13 Sylvia Court,"Sold $531,000 in Nov 2019","Last Sold $143,000 in Apr 1995", ,House: 3  2  2 ,Land size: 808 sqm
34,123 Solar Drive,"Sold $380,000 in Oct 2019","Last Sold $130,000 in Feb 2000", ,House: 3  1  2 ,Land size: 553 sqm
35,16 Bellagio Court,"Sold $390,000 in Oct 2019","Last Sold $340,000 in Oct 2018", ,House: 2  1  2 ,Land size: 454 sqm | Building size: 100 sqm
36,227 Boundary Road,"Sold $325,000 in Oct 2019","Last Sold $86,700 in Apr 1989", ,House: 3  1  3 ,Land size: 528 sqm
37,2/41 Townsend Road,"Sold $305,000 in Oct 2019","Last Sold $69,000 in Nov 2017", , ,Land size: 266 sqm
38,12 Regent Street,"Sold $360,100 in Oct 2019","Last Sold $240,000 in Jan 2017", ,House: 3  2  2 ,Land size: 310 sqm | Building size: 114 sqm
39,53 Townsend Road,"Sold $129,000 in Sep 2019", ,Rent $160pw in Oct 2007, ,Land size: 124 sqm | Building size: 86 sqm
40,62 Regent Street,"Sold $441,000 in Sep 2019", , ,House: 3  1  1 ,Land size: 726 sqm
41,166 Wilsons Road,"Sold $417,500 in Aug 2019","Last Sold $260,000 in May 2012", ,House: 3  1  1 ,Land size: 727 sqm | Building size: 124 sqm
42,25 Townsend Road,"Sold $552,000 in Aug 2019","Last Sold $365,000 in Sep 2012", ,House: 2  1  2 ,"Land size: 1,166 sqm | Building size: 91 sqm"
43,24/5 Oxford Street,"Sold $329,000 in Aug 2019", , , ,Land size: 91 sqm
44,182 Wilsons Road,"Sold $375,000 in Jul 2019","Last Sold $273,500 in May 2011", ,House: 3  1  1 ,Land size: 630 sqm
45,16 Proton Court,"Sold $347,500 in Jul 2019","Last Sold $63,500 in Sep 1992", ,House: 3  1  3 ,Land size: 684 sqm
46,11 Katarina Place,"Sold $385,000 in Jul 2019","Last Sold $89,500 in Sep 1996", ,House: 3  1  1 ,Land size: 570 sqm | Building size: 110 sqm
47,159 Solar Drive,"Sold $325,000 in Jul 2019","Last Sold $215,000 in Jul 2012", ,House: 3  1  2 ,Land size: 612 sqm | Building size: 100 sqm
48,2/6 Harvard Court,"Sold $342,000 in Jun 2019","Last Sold $225,000 in Apr 2017", , ,Land size: 273 sqm
49,223 Boundary Road,"Sold $380,000 in Jun 2019", , ,House: 3  1  1 ,Land size: 495 sqm
50,55 Solar Drive,"Sold $340,000 in Jun 2019", , ,House: 3  1  2 ,Land size: 571 sqm
51,22 Melva Crescent,"Sold $435,000 in May 2019","Last Sold $88,000 in Mar 1995", ,House: 3  1  1 ,Land size: 803 sqm
52,246 Wilsons Road,"Sold $360,000 in May 2019","Last Sold $180,000 in Jun 2007", ,House: 3  1  4 ,Land size: 755 sqm
53,2/16 Dew Street,"Sold $445,000 in May 2019","Last Sold $220,000 in Mar 2011", ,Townhouse: 3  2  3 ,Land size: 469 sqm
54,8/15-19 Thompson Street,"Sold $345,000 in May 2019","Last Sold $209,000 in Jan 2015", , ,Land size: 226 sqm | Building size: 94 sqm
55,5/197 Boundary Road,"Sold $260,000 in May 2019", , , , 
56,172 Wilsons Road,"Sold $469,000 in May 2019","Last Sold $125,000 in Oct 2001", ,House: 3  2  4 ,Land size: 611 sqm
57,65 Solar Drive,"Sold $410,000 in May 2019","Last Sold $285,000 in Jan 2014", ,House: 4  2  2 ,Land size: 931 sqm
58,6 Proton Court,"Sold $325,000 in Apr 2019","Last Sold $215,000 in Dec 2013", ,House: 3  1  3 ,Land size: 613 sqm | Building size: 110 sqm
59,4 Echo Court,"Sold $352,000 in Apr 2019","Last Sold $190,000 in Nov 2007", ,House: 3  1  2 ,Land size: 785 sqm | Building size: 114 sqm
60,2/211-213 Boundary Road,"Sold $365,000 in Apr 2019","Last Sold $169,000 in Feb 2003", , ,Land size: 258 sqm
61,14 Katarina Place,"Sold $385,000 in Apr 2019", , ,House: 3  1  ,Land size: 459 sqm
62,170 Wilsons Road,"Sold $440,000 in 13 Apr 2019(Auction)", ,Rent $340pw in Jul 2019,House: 3  1  1 ,Land size: 717 sqm
63,241 Boundary Road,"Sold $510,000 in 13 Apr 2019(Auction)","Last Sold $391,500 in Aug 2015", ,House: 4  2  2 ,Land size: 498 sqm
64,35 Townsend Road,"Sold $353,000 in Apr 2019","Last Sold $331,000 in Dec 2017(Auction)", ,House: 3  1  2 ,Land size: 737 sqm
65,3/8 Casaceli Court,"Sold $234,000 in Apr 2019","Last Sold $114,000 in Jul 2007", , ,Land size: 140 sqm
66,45 Melva Crescent,"Sold $417,500 in Apr 2019","Last Sold $97,500 in Feb 2000", ,House: 3  1  2 ,Land size: 662 sqm
67,1/1-3 Apollo Place,"Sold $292,000 in Apr 2019","Last Sold $169,000 in May 2008", , ,Land size: 191 sqm
68,2/209 Boundary Road,"Sold $265,000 in Mar 2019","Last Sold $64,000 in Oct 1988", , ,Land size: 142 sqm
69,2/5 Katarina Place,"Sold $340,000 in Mar 2019","Last Sold $200,000 in Mar 2013", ,House: 2  1  1 ,Land size: 229 sqm | Building size: 74 sqm
70,2/8-10 Regent Street,"Sold $340,000 in Mar 2019", , , ,Land size: 149 sqm
71,5 Galaxy Court,"Sold $365,000 in Mar 2019","Last Sold $227,500 in Dec 2016", ,House: 3  1  2 ,Land size: 696 sqm
72,17 Conrad Court,"Sold $367,000 in Mar 2019","Last Sold $247,000 in Feb 2015", ,House: 3  2  1 ,Land size: 822 sqm
73,26/5 Oxford Street,"Sold $322,000 in Mar 2019", , ,Townhouse: 2  1  1 ,Land size: 90 sqm
74,4/214-216 Wilsons Road,"Sold $240,000 in Mar 2019","Last Sold $140,000 in Mar 2007", , ,Land size: 125 sqm
75,3 Harvard Court,"Sold $437,500 in Mar 2019","Last Sold $260,000 in Aug 2012", ,House: 4  2  4 ,Land size: 650 sqm
76,2/25 Schmitt Court,"Sold $300,000 in Feb 2019","Last Sold $245,000 in Jan 2017", , ,Land size: 225 sqm | Building size: 114 sqm
77,8 Sputnik Court,"Sold $330,000 in Feb 2019","Last Sold $251,000 in Jun 2010", ,House: 3  1  2 ,Land size: 560 sqm | Building size: 105 sqm
78,1/20 Regent Street,"Sold $185,000 in Feb 2019","Last Sold $121,000 in May 2009", , ,Land size: 30 sqm
79,3/53 Regent Street,"Sold $251,000 in Jan 2019","Last Sold $169,500 in Feb 2016", , ,Land size: 87 sqm
80,10 Atlas Court,"Sold $363,000 in Jan 2019","Last Sold $215,000 in Mar 2014", ,House: 3  1  2 ,Land size: 702 sqm | Building size: 106 sqm
81,12 Sputnik Court,"Sold $340,000 in Jan 2019","Last Sold $235,000 in Jan 2013", ,House: 3  1  3 ,Land size: 716 sqm | Building size: 98 sqm
82,2c Thatcher Court,"Sold $137,000 in Dec 2018", , , ,Land size: 378 sqm
83,21 Titan Street,"Sold $360,000 in Dec 2018","Last Sold $207,000 in Jun 2012", ,House: 4  1  3 ,Land size: 608 sqm | Building size: 122 sqm
84,7 Freesia Court,"Sold $395,000 in Dec 2018","Last Sold $300,000 in Oct 2015", ,House: 3  2  1 ,Land size: 715 sqm
85,3 Monash Court,"Sold $440,000 in Dec 2018","Last Sold $334,000 in May 2012", ,House: 4  2  2 ,Land size: 734 sqm
86,2/66 Regent Street,"Sold $310,000 in Nov 2018","Last Sold $205,000 in Nov 2007", , ,Land size: 361 sqm
87,5 Thompson Street,"Sold $450,000 in Nov 2018","Last Sold $205,500 in Sep 2008", ,House: 4  1  1 ,Land size: 685 sqm | Building size: 158 sqm
88,33 Hickey Street,"Sold $385,000 in Nov 2018", , ,House: 3  1  5 ,Land size: 685 sqm
89,9 Melva Crescent,"Sold $390,000 in Nov 2018","Last Sold $250,000 in Nov 2013", ,House: 3  1  1 ,Land size: 739 sqm | Building size: 101 sqm
90,12-14 Stefania Mews,"Sold $465,500 in Nov 2018","Last Sold $320,000 in Jun 2015", ,House: 4  2  1 ,Land size: 591 sqm
91,4 Alouette Court,"Sold $350,000 in Nov 2018","Last Sold $231,000 in Nov 2013", ,House: 3  1  1 ,Land size: 724 sqm
92,217 Boundary Road,"Sold $421,000 in Oct 2018", , ,House: 2  2  2 ,Land size: 984 sqm
93,56 Oxford Street,"Sold $420,000 in Sep 2018","Last Sold $295,000 in Mar 2012", ,House: 3  1  1 ,Land size: 639 sqm
94,31 Melva Crescent,"Sold $450,000 in Sep 2018","Last Sold $287,000 in Dec 2013", ,House: 3  1  4 ,Land size: 726 sqm
95,2/112 Coppards Road,"Sold $324,000 in Sep 2018","Last Sold $219,000 in Nov 2012", , ,Land size: 215 sqm | Building size: 72 sqm
96,1/14 Oxford Street,"Sold $337,000 in Sep 2018","Last Sold $255,000 in Feb 2017", , ,Land size: 132 sqm
97,113 Solar Drive,"Sold $355,000 in Sep 2018","Last Sold $235,000 in Mar 2015", ,House: 3  1  3 ,Land size: 637 sqm | Building size: 121 sqm
98,1 & 2/36 Hickey Street,"Sold $305,000 in Aug 2018", , ,House: 2  1  1 , 
99,55 Regent Street,"Sold $439,000 in Aug 2018","Last Sold $327,000 in Jun 2017", ,House: 3  1  1 ,Land size: 842 sqm
100,5 Bettsons Court,"Sold $420,000 in Aug 2018","Last Sold $261,000 in Sep 2011(Auction)", ,House: 3  2  2 ,Land size: 660 sqm
101,33 Melva Crescent,"Sold $385,000 in Aug 2018","Last Sold $175,000 in Nov 2005", ,House: 3  1  2 ,Land size: 688 sqm
102,1/21 Freesia Court,"Sold $345,000 in Aug 2018","Last Sold $92,500 in Aug 1994", , ,Land size: 374 sqm
103,36 Oxford Street,"Sold $446,000 in 04 Aug 2018(Auction)", ,Rent $360pw in Aug 2018,House: 3  2  2 ,Land size: 650 sqm
104,37 Townsend Road,"Sold $339,000 in Aug 2018","Last Sold $220,000 in Apr 2012", ,House: 3  1  1 ,Land size: 253 sqm
105,15/5 OXFORD Street,"Sold $321,000 in Jul 2018", , , ,"Land size: 9,343 sqm"
106,37 Regent Street,"Sold $455,000 in 28 Jul 2018(Auction)","Last Sold $92,500 in Dec 2000", ,House: 3  1  2 ,Land size: 549 sqm
107,15 Lino Court,"Sold $525,000 in Jul 2018", , ,House: 3  2  2 ,Land size: 703 sqm
108,10 Gemini Court,"Sold $401,250 in Jul 2018","Last Sold $321,500 in May 2017", ,House: 4  1  1 ,Land size: 630 sqm
109,39 Melva Crescent,"Sold $420,000 in 21 Jul 2018(Auction)", ,Rent $320pw in Sep 2018,House: 3  2  2 ,Land size: 684 sqm
110,5 Hickey Street,"Sold $450,000 in Jul 2018", , ,House: 3  1  1 ,Land size: 679 sqm
111,9/117 Solar Drive,"Sold $221,000 in Jul 2018","Last Sold $76,000 in Oct 2002", ,House: 2  1  1 ,Land size: 134 sqm | Building size: 41 sqm
112,1/12 Freesia Court,"Sold $350,000 in Jul 2018","Last Sold $76,000 in Aug 1991", , ,Land size: 193 sqm
113,1/16 Dew Street,"Sold $295,000 in Jul 2018","Last Sold $205,000 in Mar 2015", ,House: 3  1  1 ,Land size: 402 sqm | Building size: 100 sqm
114,165 Townsend Road,"Sold $416,000 in Jun 2018","Last Sold $265,000 in Nov 2005", ,House: 3  2  4 ,Land size: 714 sqm
115,3/67 Townsend Road,"Sold $175,000 in Jun 2018","Last Sold $105,000 in Feb 2000", , ,Land size: 50 sqm
116,183 Solar Drive,"Sold $338,500 in Jun 2018","Last Sold $190,000 in Feb 2012", ,House: 3  1  1 ,Land size: 766 sqm
117,9 Planet Court,"Sold $390,000 in Jun 2018", , ,House: 4  1  1 ,Land size: 961 sqm
118,32 Oxford Street,"Sold $406,000 in Jun 2018","Last Sold $227,000 in Nov 2004", ,House: 3  2  2 ,Land size: 645 sqm
119,20 Freedom Court,"Sold $343,000 in May 2018","Last Sold $225,000 in Jun 2011", ,House: 3  1  4 ,Land size: 776 sqm
120,17 Koala Court,"Sold $430,000 in May 2018","Last Sold $116,840 in Feb 2000", ,House: 4  2  2 ,Land size: 500 sqm
121,21 Hickey Street,"Sold $475,000 in May 2018","Last Sold $333,000 in Jul 2012", ,House: 4  2  6 ,Land size: 683 sqm | Building size: 142 sqm
122,162 Wilsons Road,"Sold $450,000 in May 2018","Last Sold $255,000 in Mar 2005", ,House: 4  1  1 ,"Land size: 1,033 sqm | Building size: 134 sqm"
