,address,sold,last sold,rent,house_info,land_size
21,16 Hitchcock Street,"Sold $376,000 in 10 Nov 2018(Auction)", , ,House: 3  1  1 ,Land size: 557 sqm
22,13 Fellmongers Road,"Sold $370,000 in Oct 2018", , ,House: 3  1  6 ,Land size: 665 sqm
23,236 St Albans Road,"Sold $455,000 in Oct 2018","Last Sold $77,500 in Aug 1995", ,House: 3  1  3 ,Land size: 663 sqm
24,41 Fidge Crescent,"Sold $375,000 in Oct 2018", ,Rent $350pw in Nov 2018,House: 2  2  2 ,Land size: 589 sqm
25,108 Tanner Street,"Sold $975,000 in Sep 2018","Last Sold $284,000 in Feb 2000", ,House: 4  2  3 ,"Land size: 9,977 sqm"
26,49 Tucker Street,"Sold $517,000 in 25 Aug 2018(Auction)", ,Rent $390pw in Dec 2016,House: 4  2  2 ,Land size: 876 sqm
27,2/58 Tucker Street,"Sold $367,500 in Aug 2018","Last Sold $310,000 in Jul 2016", ,Townhouse: 2  2  1 ,"Land size: 1,364 sqm"
28,9/1 Holman Court,"Sold $225,500 in Aug 2018","Last Sold $146,000 in Jun 2012", , ,Land size: 52 sqm
29,9 Young Street,"Sold $385,000 in Jul 2018","Last Sold $275,000 in Dec 2016", ,House: 3  1  2 ,Land size: 596 sqm | Building size: 116 sqm
30,48 Fidge Crescent,"Sold $378,000 in Jul 2018","Last Sold $151,000 in Sep 2002", ,House: 3  1  3 ,Land size: 557 sqm
31,18 Fidge Crescent,"Sold $420,000 in Jul 2018", ,Rent $360pw in Aug 2020,House: 3  1  5 ,Land size: 557 sqm
32,12 McAllister Street,"Sold $400,000 in Jul 2018","Last Sold $210,000 in Jun 2007", ,House: 3  1  2 ,Land size: 536 sqm
33,62 Fidge Crescent,"Sold $440,000 in Jun 2018","Last Sold $206,000 in Jan 2010", ,House: 3  1  2 ,Land size: 557 sqm
34,51A Tanner Street,"Sold $507,000 in Jun 2018", , ,House: 4  2  2 ,Land size: 631 sqm
35,2/21 Tucker Street,"Sold $325,000 in Jun 2018","Last Sold $266,000 in Jan 2015", , ,Land size: 72 sqm | Building size: 72 sqm
36,30 Fidge Crescent,"Sold $385,000 in Jun 2018","Last Sold $257,000 in May 2015", ,House: 3  1  1 ,Land size: 557 sqm
37,8/58 Tucker Street,"Sold $390,000 in Jun 2018","Last Sold $360,000 in Dec 2015", ,Townhouse: 3  2  2 ,Land size: 322 sqm
38,3/2 Hamilton Court,"Sold $355,000 in Jun 2018","Last Sold $290,000 in Nov 2014", ,House: 2  1  1 ,Land size: 192 sqm
39,3 Higgins Court,"Sold $385,000 in Apr 2018","Last Sold $245,000 in Apr 2014", ,House: 3  1  1 ,Land size: 615 sqm | Building size: 102 sqm
40,10/1 Holman Court,"Sold $200,000 in Apr 2018","Last Sold $125,000 in Feb 2000", , ,Land size: 51 sqm
41,2/3 Tanner Street,"Sold $360,000 in Apr 2018", ,Rent $360pw in Dec 2017,Townhouse: 3  2  1 ,Land size: 149 sqm
42,3 Holman Court,"Sold $325,000 in Apr 2018","Last Sold $182,600 in Aug 2004", , ,Land size: 406 sqm
43,2/51 Tanner Street,"Sold $346,000 in Apr 2018","Last Sold $260,000 in Oct 2009", ,Townhouse: 3  1  2 ,Land size: 329 sqm
44,1/1 Tanner Street,"Sold $355,000 in Mar 2018","Last Sold $310,000 in Apr 2015", , ,Land size: 249 sqm
45,2 Fidge Crescent,"Sold $410,000 in Mar 2018","Last Sold $187,500 in Apr 2005", ,House: 4  1  1 ,Land size: 591 sqm
46,4 Hodges Court,"Sold $332,000 in 17 Feb 2018(Auction)", , ,House: 2  1  1 ,Land size: 538 sqm
47,15 Hitchcock Street,"Sold $380,000 in Feb 2018", , ,House: 3  1  2 ,Land size: 534 sqm
48,5 Young Street,"Sold $285,000 in Feb 2018","Last Sold $205,000 in Oct 2010", ,House: 3  1  ,Land size: 534 sqm
49,3/3 Tanner Street,"Sold $350,000 in Jan 2018","Last Sold $310,000 in Jan 2016", , ,Land size: 180 sqm | Building size: 138 sqm
50,7 Fellmongers Road,"Sold $295,000 in Dec 2017","Last Sold $157,500 in May 2002", ,House: 3  ,Land size: 604 sqm
51,12 Tanner Street,"Sold $335,000 in 16 Dec 2017(Auction)","Last Sold $149,000 in Jan 2003", ,House: 3  1  1 ,Land size: 477 sqm | Building size: 151 sqm
52,29 Tanner Street,"Sold $400,000 in Nov 2017","Last Sold $165,000 in Apr 2006", ,House: 4  2  2 ,Land size: 767 sqm | Building size: 148 sqm
53,27 Young Street,"Sold $391,000 in Nov 2017", , ,House: 3  1  1 ,Land size: 534 sqm
54,11 Fellmongers Road,"Sold $391,000 in Nov 2017","Last Sold $247,500 in Dec 2014", ,House: 3  1  4 ,Land size: 664 sqm | Building size: 113 sqm
55,6/22 Apparel Close,"Sold $450,000 in Nov 2017","Last Sold $290,000 in May 2011", , ,"Land size: 2,776 sqm"
56,33 Tanner Street,"Sold $417,000 in Oct 2017", , ,House: 3  1  2 ,Land size: 767 sqm
57,5 Fellmongers Road,"Sold $349,000 in Oct 2017","Last Sold $237,000 in Sep 2009", ,House: 3  1  4 ,Land size: 608 sqm
58,4/55 Tanner Street,"Sold $300,000 in Oct 2017","Last Sold $245,000 in Nov 2009", , ,Land size: 248 sqm
59,53 Tanner Street,"Sold $372,000 in Sep 2017","Last Sold $240,000 in May 2009", ,House: 3  1  2 ,Land size: 739 sqm | Building size: 126 sqm
60,5 Tucker Street,"Sold $332,000 in Aug 2017", , ,House: 2  1  1 ,Land size: 282 sqm
61,13 Fidge Crescent,"Sold $319,000 in Aug 2017", ,Rent $310pw in May 2019,House: 3  1  1 ,Land size: 557 sqm
62,26 Fellmongers Road,"Sold $363,000 in 05 Aug 2017(Auction)","Last Sold $255,002 in May 2015(Auction)", ,House: 3  1  2 ,Land size: 657 sqm | Building size: 129 sqm
63,66 Fidge Crescent,"Sold $320,000 in Jul 2017","Last Sold $72,000 in Dec 1989", ,House: 3  1  1 ,Land size: 591 sqm
64,8 Hodges Court,"Sold $311,000 in 22 Jul 2017(Auction)","Last Sold $100,000 in Jan 2002", ,House: 3  1  3 ,Land size: 563 sqm
65,22 Fellmongers Road,"Sold $295,000 in Jul 2017","Last Sold $231,000 in Aug 2012", ,House: 2  1  2 ,Land size: 656 sqm | Building size: 118 sqm
66,1/3 Tanner Street,"Sold $360,000 in May 2017", ,Rent $360pw in Feb 2012,Townhouse: 4  2  1 ,Land size: 268 sqm
67,35 Hitchcock Street,"Sold $315,000 in May 2017","Last Sold $270,000 in Dec 2011", ,House: 3  1  2 ,Land size: 562 sqm | Building size: 97 sqm
68,1/51 Tucker Street,"Sold $325,000 in Apr 2017","Last Sold $290,000 in Jun 2011", ,House: 3  1  1 ,Land size: 261 sqm | Building size: 107 sqm
69,13 Tanner Street,"Sold $330,000 in Apr 2017","Last Sold $290,000 in Oct 2015", ,House: 2  1  4 ,Land size: 843 sqm | Building size: 122 sqm
70,27 Tanner Street,"Sold $435,000 in 08 Apr 2017(Auction)","Last Sold $51,400 in Jan 1985", ,House: 3  1  5 ,Land size: 766 sqm
71,4/58 Tucker Street,"Sold $371,000 in Mar 2017","Last Sold $359,000 in Oct 2015", ,House: 3  2  2 ,"Land size: 1,364 sqm"
72,16 Tucker Street,"Sold $226,500 in Mar 2017", , ,House: 3  1  ,Land size: 617 sqm
73,1/60 Tanner Street,"Sold $310,000 in Mar 2017", ,Rent $270pw in Jun 2013, ,Land size: 273 sqm
74,1/7 Tucker Street,"Sold $245,000 in Feb 2017","Last Sold $180,000 in Aug 2010", ,Townhouse: 2  1  1 ,Land size: 642 sqm
75,8 Solomon Court,"Sold $280,000 in Jan 2017", ,Rent $300pw in Mar 2017,House: 3  1  ,Land size: 591 sqm
76,5 Hodges Court,"Sold $257,000 in Dec 2016", , ,House: 3  1  1 ,Land size: 595 sqm
77,11/1 Holman Court,"Sold $180,000 in Dec 2016","Last Sold $138,000 in Jun 2007", , ,Land size: 54 sqm
78,19 Tucker Street,"Sold $432,000 in Nov 2016","Last Sold $320,000 in Jul 2009", ,House: 3  1  1 ,Land size: 22 sqm | Building size: 138 sqm
79,20 Fellmongers Road,"Sold $278,000 in Nov 2016","Last Sold $255,000 in Aug 2013", ,House: 3  1  2 ,Land size: 655 sqm | Building size: 120 sqm
80,23 Young Street,"Sold $247,500 in Nov 2016", ,Rent $280pw in Jan 2018,House: 3  1  1 ,Land size: 534 sqm
81,17 Mcallister Street,"Sold $305,000 in Oct 2016","Last Sold $230,000 in Feb 2011", ,House: 3  1  1 ,Land size: 557 sqm
82,6 Hitchcock Street,"Sold $271,000 in Oct 2016","Last Sold $63,000 in Jun 2000", ,House: 3  1  1 ,Land size: 581 sqm
83,28 Tanner Street,"Sold $350,000 in Oct 2016","Last Sold $131,000 in Nov 1999", ,House: 4  2  4 ,Land size: 28 sqm
84,16 Young Street,"Sold $346,000 in Sep 2016","Last Sold $227,000 in Jan 2012", ,House: 3  2  2 ,Land size: 534 sqm | Building size: 137 sqm
85,39 Tucker Street,"Sold $305,000 in Aug 2016","Last Sold $177,150 in Mar 2008", ,House: 3  1  1 ,Land size: 699 sqm
86,17 Currier Street,"Sold $360,000 in Aug 2016","Last Sold $235,000 in Jul 2011", ,House: 3  1  2 ,Land size: 540 sqm
87,6/58 Tucker Street,"Sold $325,000 in Aug 2016", ,Rent $330pw in May 2016,Townhouse: 2  2  1 ,"Land size: 1,364 sqm"
88,38 Tucker Street,"Sold $245,000 in Aug 2016","Last Sold $81,750 in Jun 1995", , ,Land size: 265 sqm
89,1 Young Street,"Sold $233,000 in Aug 2016","Last Sold $221,000 in May 2014", ,House: 3  1  1 ,Land size: 572 sqm | Building size: 100 sqm
90,7/58 Tucker Street,"Sold $315,000 in Jul 2016", , ,House: 2  2  1 ,"Land size: 1,299 sqm"
91,7/55 Tanner Street,"Sold $310,000 in Jun 2016","Last Sold $255,000 in Sep 2009", ,Townhouse: 3  1  3 ,Land size: 273 sqm | Building size: 118 sqm
92,22-24 Leather Street,"Sold $1,450,000 in May 2016","Last Sold $400,000 in Feb 2003", , ,"Land size: 4,906 sqm"
93,318 Boundary Road,"Sold $490,313 in May 2016","Last Sold $365,000 in Sep 2012", , ,"Land size: 1,200 sqm"
