,address,sold,last sold,rent,house_info,land_size
266,30 Elliott Avenue,"Sold $550,000 in Jul 2019","Last Sold $365,000 in Nov 2013",Rent $220pw in Dec 2005,House: 3  1  3 ,Land size: 651 sqm | Building size: 132 sqm
267,24 Daly Boulevard,"Sold $720,000 in Jul 2019","Last Sold $330,000 in Sep 2009", ,House: 4  2  3 ,Land size: 619 sqm | Building size: 320 sqm
268,3 Norman Court,"Sold $615,000 in 06 Jul 2019(Auction)","Last Sold $391,000 in Oct 2011",Rent $350pw in Jun 2015,House: 3  1  2 ,Land size: 669 sqm
269,4 Rivington Court,"Sold $905,000 in Jul 2019","Last Sold $80,000 in May 1989", ,House: 4  2  2 ,Land size: 651 sqm
270,5 Hutcheson Avenue,"Sold $479,000 in Jul 2019","Last Sold $82,000 in Nov 1996",Rent $365pw in Dec 2017,House: 3  1  1 ,Land size: 651 sqm
271,108 Province Boulevard,"Sold $715,000 in Jul 2019", , ,House: 3  2  2 ,Land size: 313 sqm
272,15/27-29 Montague Street,"Sold $355,000 in Jun 2019","Last Sold $235,000 in Mar 2014",Rent $230pw in Jul 2013,House: 2  1  1 ,Land size: 69 sqm
273,9 Clearview Court,"Sold $447,500 in Jun 2019","Last Sold $235,000 in Dec 2011", ,House: ,Land size: 876 sqm
274,21/20 Ficinia Mews,"Sold $225,000 in Jun 2019", ,Rent $265pw in Dec 2017, , 
275,41 DRYDEN WAY,"Sold $343,000 in Jun 2019","Last Sold $255,000 in Feb 2016", , ,Land size: 646 sqm
276,274 Mt Pleasant Road,"Sold $525,000 in Jun 2019","Last Sold $415,000 in Mar 2016",Rent $280pw in Jan 2010,House: 3  1  1 ,Land size: 586 sqm | Building size: 110 sqm
277,15 Mawarra Court,"Sold $810,000 in Jun 2019","Last Sold $382,000 in Oct 2005", ,House: 4  2  2 ,Land size: 822 sqm
278,28C Lambhill Crescent,"Sold $610,000 in Jun 2019", , , ,Land size: 365 sqm
279,12B Larcombe Street,"Sold $635,000 in Jun 2019", ,Rent $390pw in Oct 2017,House: 3  2  2 ,Land size: 430 sqm
280,1/9 Cedar Grove,"Sold $535,000 in Jun 2019","Last Sold $353,000 in Oct 2010", ,House: 3  1  2 ,"Land size: 1,084 sqm | Building size: 128 sqm"
281,17 Strickland Avenue,"Sold $565,000 in Jun 2019","Last Sold $350,000 in Jan 2014",Rent $380pw in Mar 2012,House: 3  1  3 ,Land size: 589 sqm | Building size: 124 sqm
282,7 Montril Court,"Sold $665,000 in Jun 2019","Last Sold $235,000 in May 2011", ,House: 4  2  2 ,Land size: 633 sqm | Building size: 190 sqm
283,27 Highland Way,"Sold $1,000,000 in Jun 2019","Last Sold $205,000 in Nov 2004", ,House: 5  2  2 ,Land size: 865 sqm | Building size: 400 sqm
284,43 Victory Way,"Sold $900,000 in Jun 2019","Last Sold $210,000 in Jan 2007", ,House: 5  3  2 ,Land size: 754 sqm | Building size: 322 sqm
285,7 Tarring Court,"Sold $660,000 in Jun 2019", , ,House: 4  2  2 ,Land size: 792 sqm
286,18 Valencay Avenue,"Sold $930,000 in Jun 2019","Last Sold $795,000 in Jul 2015", ,House: 5  3  2 ,Land size: 680 sqm | Building size: 240 sqm
287,9 Clemont Street,"Sold $806,000 in Jun 2019","Last Sold $182,000 in Oct 2009", ,House: 4  2  2 ,Land size: 804 sqm
288,14 Cara Road,"Sold $775,000 in Jun 2019","Last Sold $184,000 in Nov 2000", ,House: 4  2  2 ,Land size: 844 sqm
289,80 Fogarty Avenue,"Sold $535,000 in Jun 2019","Last Sold $329,000 in Jun 2008", ,House: 3  2  2 ,Land size: 368 sqm
290,3/233 Roslyn Road,"Sold $423,000 in Jun 2019","Last Sold $387,000 in Feb 2000", , ,Land size: 193 sqm
291,11B St Elmo Crescent,"Sold $495,000 in Jun 2019", ,Rent $430pw in Jun 2019,House: 3  1  1 ,Land size: 455 sqm
292,97 Victory Way,"Sold $780,000 in Jun 2019","Last Sold $765,000 in Feb 2014", ,House: 3  2  2 ,Land size: 420 sqm
293,76 South Valley Road,"Sold $551,000 in 01 Jun 2019(Auction)","Last Sold $385,000 in Feb 2010", ,House: 3  1  1 ,Land size: 633 sqm | Building size: 138 sqm
294,49 Larcombe Street,"Sold $792,000 in 01 Jun 2019(Auction)","Last Sold $545,000 in Dec 2011", ,House: 4  2  2 ,Land size: 805 sqm
295,14 Fryers Road,"Sold $460,000 in May 2019","Last Sold $72,500 in Jul 1986", ,House: 3  1  2 ,Land size: 945 sqm
296,229 Roslyn Road,"Sold $844,000 in May 2019","Last Sold $84,500 in Aug 1997", ,House: 6  1  7 ,Land size: 766 sqm
297,5 Lascelles Place,"Sold $763,500 in 25 May 2019(Auction)","Last Sold $74,500 in Jan 2001", ,House: 3  2  2 ,Land size: 737 sqm | Building size: 240 sqm
298,7 South Valley Road,"Sold $647,000 in May 2019","Last Sold $345,000 in Mar 2010", ,House: 4  2  2 ,Land size: 644 sqm | Building size: 146 sqm
299,32 Augustine Drive,"Sold $650,000 in May 2019", , ,House: 4  2  2 ,Land size: 822 sqm
