Suburb,Suburb_Code,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,School,Shop,Restaurant,Station,Park,Hospital,Rent Amount PW,Auction,Last Sell Date,Last Sell Price,Sell Date,Sell Price
Armstrong Creek,1,504.0,157.80025348542458,3.0,1.0,2.0,2,2,4,13,3,0,800.847867054994,0.0,2014-05-01,183000.0,2020-08-01,550000
Armstrong Creek,1,434.0,157.80025348542458,3.0,2.0,2.0,4,16,6,14,3,0,400.0,0.0,2012-06-01,153075.0,2020-08-01,570000
Armstrong Creek,1,546.0,157.80025348542458,4.0,2.0,2.0,2,2,4,13,3,0,800.847867054994,0.0,2017-10-01,545000.0,2020-08-01,650000
Armstrong Creek,1,444.0,157.80025348542458,4.0,2.0,2.0,2,2,4,14,3,0,470.0,0.0,2014-06-01,180000.0,2020-08-01,580000
Armstrong Creek,1,400.0,157.80025348542458,3.0,1.0,2.0,5,16,7,15,3,0,390.0,0.0,2016-04-01,152000.0,2020-08-01,500000
Armstrong Creek,1,523.0,182.0,3.0,1.0,2.0,4,17,6,16,4,0,800.847867054994,0.0,2010-11-01,209000.0,2020-08-01,600000
Armstrong Creek,1,489.0,157.80025348542458,4.0,2.0,2.0,4,16,6,15,4,0,800.847867054994,0.0,2017-04-01,491000.0,2020-08-01,625000
Armstrong Creek,1,507.0,157.80025348542458,3.0,1.0,2.0,4,17,4,14,3,0,800.847867054994,0.0,2000-02-01,171000.0,2020-08-01,580000
Armstrong Creek,1,448.0,157.80025348542458,3.0,1.0,2.0,4,13,7,14,3,0,800.847867054994,0.0,2000-02-01,164000.0,2020-08-01,580000
Armstrong Creek,1,448.0,222.0,4.0,2.0,2.0,2,4,4,15,4,0,800.847867054994,0.0,2018-02-01,550000.0,2020-08-01,620000
Armstrong Creek,1,506.0,177.0,4.0,2.0,2.0,4,18,5,14,3,0,800.847867054994,0.0,2015-06-01,445000.0,2020-08-01,605500
Armstrong Creek,1,498.0,168.0,3.0,1.0,2.0,5,17,7,15,4,0,800.847867054994,0.0,2013-05-01,162000.0,2020-08-01,572500
Armstrong Creek,1,447.0,168.0,3.0,1.0,2.0,1,4,4,13,4,0,800.847867054994,0.0,2014-07-01,175500.0,2020-07-01,570000
