date,pm25,pm10,o3,no2,so2,co
25/07/2014,,10,18,2,,1
26/07/2014,,8,17,5,2,
27/07/2014,,7,17,5,2,
28/07/2014,,15,20,3,,
29/07/2014,,23,20,5,,
30/07/2014,,8,23,2,,
31/07/2014,,15,22,3,,
1/08/2014,,7,20,6,2,3
2/08/2014,,14,21,8,1,4
3/08/2014,,12,18,7,,2
4/08/2014,,15,19,4,,2
5/08/2014,,10,18,5,,1
6/08/2014,,8,19,5,,2
7/08/2014,,8,16,12,,2
8/08/2014,,15,16,8,1,4
9/08/2014,,12,20,2,2,
10/08/2014,,9,20,6,2,
11/08/2014,,12,18,8,,
12/08/2014,,8,18,8,4,1
13/08/2014,,15,19,11,2,2
14/08/2014,,21,,14,2,5
15/08/2014,,29,,10,2,3
16/08/2014,,21,,9,,4
17/08/2014,,20,,2,,1
18/08/2014,,9,20,3,,
19/08/2014,,7,23,10,2,2
20/08/2014,,11,13,13,2,3
21/08/2014,,25,12,13,2,5
22/08/2014,,28,,,,
24/08/2014,,10,21,3,1,1
25/08/2014,,9,19,9,3,2
26/08/2014,,13,17,7,5,1
27/08/2014,,15,15,12,2,2
28/08/2014,,20,19,10,4,2
29/08/2014,,22,22,13,4,3
30/08/2014,,22,23,7,1,4
31/08/2014,,18,18,8,5,1
1/09/2014,,12,22,5,,
2/09/2014,,12,24,7,1,2
3/09/2014,,15,20,10,,2
4/09/2014,,16,21,10,2,2
5/09/2014,,20,21,9,3,2
6/09/2014,,17,22,6,2,2
7/09/2014,,10,23,3,2,
8/09/2014,,14,21,4,3,
9/09/2014,,17,21,4,1,
10/09/2014,,21,22,2,,
11/09/2014,,15,21,7,2,3
12/09/2014,,25,24,7,1,3
13/09/2014,,15,23,3,3,1
14/09/2014,,12,18,7,2,1
15/09/2014,,13,19,6,8,
16/09/2014,,16,21,2,,
17/09/2014,,11,21,4,3,
18/09/2014,,14,19,4,6,
19/09/2014,,13,22,2,5,
20/09/2014,,8,23,7,,1
21/09/2014,,8,24,11,1,2
22/09/2014,,15,28,11,2,2
23/09/2014,,21,23,7,3,1
24/09/2014,,15,21,4,3,
25/09/2014,,7,20,6,1,2
26/09/2014,,13,24,4,2,2
27/09/2014,,10,32,2,2,
28/09/2014,,36,23,6,,
29/09/2014,,25,21,4,,
30/09/2014,,29,19,2,2,
1/04/2014,,22,24,5,2,1
2/04/2014,,22,17,3,5,
3/04/2014,,16,18,3,,
4/04/2014,,19,18,3,1,
5/04/2014,,22,17,1,,
6/04/2014,,19,14,7,2,1
7/04/2014,,18,9,8,3,1
8/04/2014,,16,15,9,,2
9/04/2014,,13,13,7,,1
10/04/2014,,6,15,2,,1
11/04/2014,,12,16,1,,
12/04/2014,,14,19,2,,
13/04/2014,,16,20,8,,
14/04/2014,,12,16,5,,
15/04/2014,,17,15,12,5,2
16/04/2014,,18,6,10,1,2
18/04/2014,,7,19,4,3,
19/04/2014,,5,20,5,,
20/04/2014,,6,20,2,1,
21/04/2014,,14,14,6,1,
22/04/2014,,12,15,7,1,2
23/04/2014,,10,18,7,1,1
24/04/2014,,19,19,6,7,1
25/04/2014,,17,19,2,4,
26/04/2014,,16,20,3,,
27/04/2014,,15,18,9,3,1
28/04/2014,,23,17,6,2,1
29/04/2014,,13,17,7,1,2
30/04/2014,,12,17,6,1,1
1/05/2014,,13,14,9,1,2
2/05/2014,,9,20,3,1,1
3/05/2014,,9,17,1,1,1
4/05/2014,,7,15,4,,
5/05/2014,,11,17,4,8,
6/05/2014,,15,19,6,,2
7/05/2014,,15,11,13,2,3
8/05/2014,,22,13,8,,1
9/05/2014,,14,14,6,1,2
10/05/2014,,13,16,4,,1
11/05/2014,,12,13,9,5,2
12/05/2014,,15,15,13,1,3
13/05/2014,,23,14,15,1,3
14/05/2014,,27,16,7,2,1
15/05/2014,,25,15,8,2,2
16/05/2014,,25,16,6,2,2
17/05/2014,,19,14,6,2,1
18/05/2014,,18,13,8,2,1
19/05/2014,,20,14,6,,
20/05/2014,,11,9,11,1,2
21/05/2014,,17,12,8,2,1
22/05/2014,,18,16,3,,1
23/05/2014,,8,16,5,1,2
24/05/2014,,7,15,7,1,1
25/05/2014,,10,8,9,1,2
26/05/2014,,13,14,6,,1
27/05/2014,,9,15,3,,1
28/05/2014,,8,14,9,4,3
29/05/2014,,21,10,12,1,5
30/05/2014,,20,7,11,3,3
31/05/2014,,16,8,5,2,1
1/06/2014,,11,13,7,5,2
2/06/2014,,11,14,3,1,1
3/06/2014,,7,13,7,3,1
4/06/2014,,10,13,9,3,3
5/06/2014,,10,12,6,1,2
6/06/2014,,6,17,2,7,
7/06/2014,,10,23,3,1,
8/06/2014,,6,19,5,1,1
9/06/2014,,7,9,13,9,4
10/06/2014,,18,14,10,1,5
11/06/2014,,19,9,8,2,1
12/06/2014,,8,12,9,2,3
13/06/2014,,14,20,4,,2
14/06/2014,,8,18,2,3,
15/06/2014,,6,19,4,,
16/06/2014,,9,17,4,6,
17/06/2014,,10,14,10,1,2
18/06/2014,,17,11,9,2,1
19/06/2014,,12,11,8,1,1
20/06/2014,,13,10,6,1,2
21/06/2014,,8,14,5,2,3
22/06/2014,,7,22,2,2,
23/06/2014,,10,21,2,,
24/06/2014,,10,20,3,,
25/06/2014,,11,21,6,,2
26/06/2014,,18,16,4,1,1
27/06/2014,,11,23,1,1,
28/06/2014,,5,22,1,,
29/06/2014,,7,17,3,,
30/06/2014,,8,16,3,,
1/01/2014,,15,9,1,,
2/01/2014,,18,12,1,,
3/01/2014,,24,11,1,,
4/01/2014,,18,8,3,,
5/01/2014,,14,10,1,1,
6/01/2014,,13,10,,2,
7/01/2014,,14,9,2,1,
8/01/2014,,12,6,5,,2
9/01/2014,,27,9,5,,1
10/01/2014,,23,16,3,11,1
11/01/2014,,21,8,2,,1
12/01/2014,,22,20,3,1,2
13/01/2014,,30,38,7,1,2
14/01/2014,,46,43,7,3,2
15/01/2014,,38,58,9,3,3
16/01/2014,,31,41,6,7,3
17/01/2014,,39,19,2,6,1
18/01/2014,,13,13,,,
19/01/2014,,18,11,1,,
20/01/2014,,16,11,2,10,
21/01/2014,,14,11,1,4,
22/01/2014,,24,21,4,4,2
23/01/2014,,28,16,4,9,1
24/01/2014,,19,12,2,3,
25/01/2014,,15,18,3,2,2
26/01/2014,,20,37,6,3,2
27/01/2014,,20,34,4,5,1
28/01/2014,,34,13,1,,1
29/01/2014,,21,25,2,,2
30/01/2014,,34,16,1,,1
31/01/2014,,24,29,3,,2
1/02/2014,,33,34,5,4,3
2/02/2014,,33,17,8,2,1
3/02/2014,,38,13,,,
4/02/2014,,29,23,2,2,2
5/02/2014,,23,37,6,4,2
6/02/2014,,40,30,5,,2
7/02/2014,,46,35,3,,2
8/02/2014,,37,22,3,2,1
9/02/2014,,52,12,4,1,
10/02/2014,,21,31,4,2,7
11/02/2014,,59,23,6,,4
12/02/2014,,46,32,5,,3
13/02/2014,,43,21,6,,3
14/02/2014,,32,33,2,,2
15/02/2014,,24,11,1,2,1
16/02/2014,,11,15,3,2,
17/02/2014,,14,24,5,2,2
18/02/2014,,26,14,2,1,1
19/02/2014,,14,12,2,,
20/02/2014,,11,14,2,4,
21/02/2014,,17,13,1,3,
22/02/2014,,10,,,,
24/02/2014,,9,7,4,1,
25/02/2014,,6,14,2,5,
26/02/2014,,10,14,2,2,
27/02/2014,,18,19,2,3,
28/02/2014,,20,14,1,,
1/03/2014,,15,12,1,,
2/03/2014,,6,19,5,,1
3/03/2014,,18,28,5,4,2
4/03/2014,,24,17,4,,1
5/03/2014,,19,12,4,,
6/03/2014,,25,15,3,,1
7/03/2014,,18,15,2,,2
8/03/2014,,22,33,5,3,1
9/03/2014,,28,28,5,1,1
10/03/2014,,21,21,8,2,2
11/03/2014,,23,14,3,1,1
12/03/2014,,18,16,5,1,
13/03/2014,,19,22,7,3,1
14/03/2014,,26,17,4,1,1
15/03/2014,,22,16,2,,
16/03/2014,,9,16,3,,
17/03/2014,,11,17,4,,
18/03/2014,,16,17,5,5,
19/03/2014,,22,31,9,6,2
20/03/2014,,26,16,10,2,1
21/03/2014,,23,17,2,2,
22/03/2014,,12,17,3,8,
23/03/2014,,11,14,4,2,
24/03/2014,,8,14,3,1,
25/03/2014,,15,14,4,,
26/03/2014,,17,9,6,,2
27/03/2014,,8,17,4,,1
28/03/2014,,9,18,5,,2
29/03/2014,,12,21,4,,
30/03/2014,,13,27,8,3,3
31/03/2014,,16,26,8,2,2
22/01/2020,,,17,4,,
16/03/2019,,,24,3,1,1
24/02/2017,,,15,1,,
25/02/2017,,,22,2,,
26/02/2017,,,38,7,1,1
27/02/2017,,,37,10,3,2
28/02/2017,,,28,6,1,2
7/03/2017,,,35,6,1,1
8/04/2016,,,16,5,,
9/04/2016,,,17,3,,
10/04/2016,,,13,4,,
11/04/2016,,,16,4,,
12/04/2016,,,17,6,1,1
13/04/2016,,,16,9,,2
31/12/2014,,,16,1,2,1
8/02/2015,,,14,,2,1
23/08/2014,,,19,1,,
17/04/2014,,,18,2,5,1
31/12/2013,,,4,7,,1
23/02/2014,,,9,1,,
