date,pm25,pm10,o3,no2,so2,co
31/05/2020,23,6,19,2,1,
1/06/2020,18,7,20,1,,
2/06/2020,11,21,22,4,,
3/06/2020,33,31,20,12,,2
4/06/2020,41,20,15,7,,1
5/06/2020,48,9,21,2,,
6/06/2020,24,8,21,4,,
7/06/2020,21,7,15,6,,1
8/06/2020,30,18,13,12,,2
9/06/2020,50,23,13,12,,2
10/06/2020,59,20,11,11,,2
11/06/2020,45,20,8,13,,5
12/06/2020,52,9,15,4,1,2
13/06/2020,32,9,20,,,1
14/06/2020,18,4,16,4,,1
15/06/2020,12,,16,4,,1
16/06/2020,19,,15,12,,2
17/06/2020,31,,14,11,,3
18/06/2020,43,,14,4,,1
19/06/2020,22,,18,4,,1
20/06/2020,24,,12,8,,3
21/06/2020,48,,19,2,,1
22/06/2020,15,,16,6,,1
23/06/2020,15,19,15,7,,1
24/06/2020,18,11,15,7,,1
25/06/2020,21,13,16,6,,
26/06/2020,24,17,16,8,,2
27/06/2020,37,18,18,9,2,3
28/06/2020,64,30,8,15,1,4
29/06/2020,74,19,13,13,,4
30/06/2020,51,22,14,5,1,1
1/01/2020,34,19,17,3,,
2/01/2020,22,59,37,3,1,4
3/01/2020,58,39,26,2,1,2
4/01/2020,80,15,13,1,,1
5/01/2020,25,71,23,6,1,15
6/01/2020,92,11,20,2,,4
7/01/2020,51,19,20,4,1,1
8/01/2020,47,27,38,4,1,4
9/01/2020,26,39,30,6,,4
10/01/2020,68,14,14,1,,
11/01/2020,31,6,12,1,,
12/01/2020,12,107,78,6,1,14
13/01/2020,43,119,50,7,,17
14/01/2020,188,132,68,15,1,15
15/01/2020,202,18,22,2,,5
16/01/2020,88,12,16,1,,
17/01/2020,31,23,30,2,,2
18/01/2020,41,28,32,3,1,3
19/01/2020,64,8,15,1,,1
20/01/2020,24,12,18,1,,
21/01/2020,39,,28,5,1,1
24/01/2020,39,14,16,2,,
25/01/2020,21,14,15,2,,1
26/01/2020,15,17,18,2,,
27/01/2020,20,20,17,3,,
28/01/2020,20,25,24,4,,1
29/01/2020,29,29,59,9,2,1
30/01/2020,35,52,33,11,,2
31/01/2020,42,9,13,2,,1
1/02/2020,21,9,14,,,
2/02/2020,7,14,13,1,,
4/02/2020,28,18,16,3,,
5/02/2020,17,36,31,2,,2
6/02/2020,59,29,26,2,,2
7/02/2020,60,22,12,,,1
8/02/2020,46,32,19,1,,1
9/02/2020,36,12,14,1,,1
10/02/2020,21,14,11,2,,1
11/02/2020,21,10,12,1,,
12/02/2020,16,14,13,1,,2
13/02/2020,15,10,18,8,,1
14/02/2020,26,11,13,1,,
15/02/2020,29,16,16,1,,
16/02/2020,22,19,22,2,,1
17/02/2020,17,10,18,4,,1
18/02/2020,22,13,14,1,,
19/02/2020,23,11,13,2,,
20/02/2020,17,9,13,2,,
21/02/2020,18,11,15,2,,
22/02/2020,13,16,26,2,,1
23/02/2020,22,19,18,4,1,1
24/02/2020,29,15,15,5,,1
25/02/2020,23,14,14,2,,
26/02/2020,18,16,16,3,,
27/02/2020,20,11,12,2,,
28/02/2020,12,6,13,2,,
29/02/2020,10,15,21,2,,
1/03/2020,15,12,17,2,,
2/03/2020,25,10,11,2,,
3/03/2020,10,22,10,7,,1
4/03/2020,29,11,15,4,,1
5/03/2020,17,11,16,2,,
6/03/2020,25,11,14,,10,
7/03/2020,9,9,15,,,
8/03/2020,16,8,17,1,,
9/03/2020,13,15,18,5,,
10/03/2020,13,21,29,9,,1
11/03/2020,26,23,33,7,,1
12/03/2020,26,22,21,5,,
13/03/2020,23,17,16,,,
14/03/2020,14,5,11,1,,1
15/03/2020,21,18,19,6,,1
16/03/2020,30,24,21,7,,2
17/03/2020,20,29,17,7,,1
18/03/2020,16,36,18,12,,2
19/03/2020,29,15,15,2,,
20/03/2020,21,22,18,1,,
21/03/2020,27,15,16,1,,
22/03/2020,24,13,16,2,,
23/03/2020,19,12,16,3,,
24/03/2020,11,15,16,4,,
25/03/2020,16,14,18,2,,
26/03/2020,16,24,26,6,,1
27/03/2020,27,22,25,4,,1
28/03/2020,31,27,19,2,,
