,date,mintemp,maxtemp,rainfall,dir_maxgust,spd_maxgust,time_maxgust,9am_temp,9am_rh,9am_wd,9am_ws,9am_mslp,3pm_temp,3pm_rh,3pm_wd,3pm_ws,3pm_mslp,pm25,pm10,o3,no2,so2,co
78,2014-03-20,8.2,30.4,0.0,S,30.0,17:04:00,12.4,93.0,Calm,0.0,1024.1,29.4,24.0,NE,9.0,1019.1,23.0,26.0,16.0,10.0,2.0,1.0
79,2014-03-21,11.6,21.0,0.0,SW,54.0,15:49:00,16.1,70.0,WNW,6.0,1015.8,18.8,76.0,S,19.0,1015.8,23.0,23.0,17.0,2.0,2.0,1.0
80,2014-03-22,11.3,17.4,0.0,SSW,39.0,10:41:00,12.3,80.0,WSW,9.0,1021.4,16.3,58.0,S,20.0,1021.0,23.0,12.0,17.0,3.0,8.0,1.0
81,2014-03-23,12.3,19.0,0.0,SSW,31.0,11:58:00,13.6,62.0,WSW,7.0,1019.5,16.4,51.0,S,17.0,1019.7,23.0,11.0,14.0,4.0,2.0,1.0
82,2014-03-24,8.9,20.1,0.8,SSE,35.0,14:14:00,13.0,93.0,SW,7.0,1021.0,19.2,54.0,SSE,19.0,1020.5,23.0,8.0,14.0,3.0,1.0,1.0
83,2014-03-25,11.5,22.5,0.2,SSE,39.0,16:52:00,16.6,78.0,SE,15.0,1024.5,21.0,67.0,SSE,26.0,1022.9,23.0,15.0,14.0,4.0,2.0,1.0
84,2014-03-26,14.9,25.4,0.0,E,44.0,21:36:00,18.8,92.0,SE,6.0,1025.5,22.7,67.0,SSE,20.0,1023.2,23.0,17.0,9.0,6.0,2.0,2.0
85,2014-03-27,16.8,23.9,5.6,E,44.0,23:09:00,17.3,94.0,Calm,0.0,1017.5,20.8,92.0,Calm,0.0,1014.0,23.0,8.0,17.0,4.0,2.0,1.0
86,2014-03-28,16.1,20.5,1.0,WSW,20.0,04:03:00,16.9,92.0,W,7.0,1017.2,19.1,72.0,S,9.0,1016.6,23.0,9.0,18.0,5.0,2.0,2.0
87,2014-03-29,10.5,22.6,0.0,SE,20.0,15:49:00,13.0,95.0,Calm,0.0,1018.3,22.4,60.0,NNE,9.0,1016.5,23.0,12.0,21.0,4.0,2.0,1.0
88,2014-03-30,12.9,23.7,0.2,S,26.0,12:46:00,16.0,95.0,SSW,2.0,1020.2,22.9,65.0,S,17.0,1019.1,23.0,13.0,27.0,8.0,3.0,3.0
89,2014-03-31,12.8,31.9,0.0,W,24.0,13:51:00,17.1,95.0,NNE,6.0,1018.8,30.9,27.0,SW,11.0,1015.4,23.0,16.0,26.0,8.0,2.0,2.0
90,2014-04-01,17.0,35.7,0.0,NNW,31.0,16:29:00,21.5,71.0,NE,9.0,1015.1,32.7,29.0,NE,15.0,1011.2,27.0,22.0,24.0,5.0,2.0,1.0
91,2014-04-02,20.8,21.9,0.0,NW,35.0,06:11:00,21.2,70.0,SW,6.0,1012.8,18.0,81.0,S,19.0,1014.5,27.0,22.0,17.0,3.0,5.0,1.0
92,2014-04-03,15.0,19.2,2.2,S,35.0,15:53:00,15.4,66.0,WSW,9.0,1020.5,18.2,66.0,S,24.0,1020.7,27.0,16.0,18.0,3.0,2.0,1.0
93,2014-04-04,13.5,19.0,0.0,S,35.0,10:25:00,14.7,64.0,SSE,17.0,1022.9,17.3,65.0,S,26.0,1020.9,27.0,19.0,18.0,3.0,1.0,1.0
94,2014-04-05,14.0,22.4,0.0,SE,37.0,17:19:00,17.0,87.0,SE,7.0,1022.2,20.8,65.0,SE,22.0,1021.0,27.0,22.0,17.0,1.0,2.0,1.0
95,2014-04-06,13.1,21.6,0.0,SSE,35.0,15:45:00,18.4,79.0,ESE,11.0,1024.9,20.2,68.0,SSE,24.0,1023.4,27.0,19.0,14.0,7.0,2.0,1.0
96,2014-04-07,10.4,24.4,0.0,ENE,30.0,13:09:00,16.1,92.0,NE,9.0,1023.3,23.2,51.0,ENE,17.0,1019.5,27.0,18.0,9.0,8.0,3.0,1.0
97,2014-04-08,16.1,19.8,0.0,NNE,22.0,20:49:00,19.7,60.0,NNE,11.0,1019.7,17.1,93.0,NNE,11.0,1018.6,27.0,16.0,15.0,9.0,2.0,2.0
98,2014-04-09,16.5,18.0,8.8,NNE,28.0,14:15:00,17.5,94.0,ENE,11.0,1019.3,17.6,93.0,NE,15.0,1016.7,27.0,13.0,13.0,7.0,2.0,1.0
99,2014-04-10,16.9,18.3,4.2,NNE,20.0,10:26:00,17.2,94.0,NE,11.0,1013.4,18.1,94.0,E,4.0,1009.6,27.0,6.0,15.0,2.0,2.0,1.0
100,2014-04-11,16.3,18.7,2.8,S,54.0,11:16:00,16.5,93.0,S,28.0,1013.1,17.1,89.0,SSW,26.0,1013.8,27.0,12.0,16.0,1.0,2.0,1.0
101,2014-04-12,15.4,20.4,4.2,SSE,41.0,14:15:00,17.9,92.0,SE,20.0,1019.7,18.9,81.0,SE,26.0,1018.6,27.0,14.0,19.0,2.0,2.0,1.0
102,2014-04-13,12.0,19.8,0.4,SSE,30.0,14:39:00,17.0,77.0,SE,11.0,1021.6,18.4,64.0,SSE,19.0,1020.9,27.0,16.0,20.0,8.0,2.0,1.0
103,2014-04-14,8.9,19.5,0.0,S,28.0,14:09:00,16.5,70.0,ESE,13.0,1024.3,18.8,51.0,S,19.0,1022.8,27.0,12.0,16.0,5.0,2.0,1.0
104,2014-04-16,8.8,20.1,0.0,NW,20.0,15:37:00,13.9,94.0,WNW,2.0,1021.1,19.7,67.0,NNW,4.0,1018.5,27.0,18.0,6.0,10.0,1.0,2.0
105,2014-04-17,8.5,24.0,0.0,NW,26.0,14:04:00,14.3,86.0,NW,4.0,1021.1,22.7,49.0,NE,11.0,1017.9,27.0,16.0,18.0,2.0,5.0,1.0
106,2014-04-18,8.7,18.9,0.4,SSW,43.0,11:28:00,15.2,93.0,NW,13.0,1014.9,16.9,58.0,SSW,24.0,1017.3,27.0,7.0,19.0,4.0,3.0,1.0
107,2014-04-19,10.3,18.1,0.6,W,35.0,09:11:00,13.7,66.0,W,20.0,1020.7,15.6,53.0,WSW,15.0,1018.7,27.0,5.0,20.0,5.0,2.0,1.0
108,2014-04-20,11.4,20.3,0.0,NW,41.0,10:27:00,14.5,62.0,NW,15.0,1017.5,19.7,41.0,WNW,15.0,1015.5,27.0,6.0,20.0,2.0,1.0,1.0
109,2014-04-21,11.6,22.0,0.0,N,54.0,21:07:00,16.4,49.0,NNW,9.0,1018.1,19.8,47.0,NNE,17.0,1013.4,27.0,14.0,14.0,6.0,1.0,1.0
110,2014-04-22,13.0,18.6,9.2,NW,33.0,00:51:00,13.7,92.0,NNE,15.0,1014.4,16.6,86.0,S,11.0,1014.6,27.0,12.0,15.0,7.0,1.0,2.0
111,2014-04-23,6.2,18.6,0.0,W,24.0,15:13:00,11.5,93.0,NW,7.0,1017.4,17.9,49.0,WNW,11.0,1013.6,27.0,10.0,18.0,7.0,1.0,1.0
112,2014-04-24,10.2,17.4,0.0,SW,41.0,10:20:00,14.7,76.0,WSW,17.0,1015.2,15.1,56.0,S,19.0,1017.6,27.0,19.0,19.0,6.0,7.0,1.0
